#Run#	Date	tStart	Ebeam	Ibeam	Target	HMSp	HMSth	SHMSp	SHMSth	PrescaleSettings	RunType	BCM2CutCh	Ps3	Ps4	tLive	PTrigs	ELREAL	Eff	Weight	nu	Q2	epsilon	xbj	fan_mean	boilcorr	# Comments
23934	07/19	02:10	8.5831	10	C	-1.531	29.045	-2.615	7.865	-1,-1,-1,0,-1,-1	HMSDIS	16956.487	-1.0	+1.0	0.999	2240653	2242107	0.9988	+1.001851	7.052	3.305	0.012	0.250	41.2005	1.0	# 0
23971	07/19	21:14	8.5831	15	C	-1.531	29.045	-6.538	7.865	-1,-1,-1,0,-1,-1	HMSDIS	9915.825	-1.0	+1.0	0.998	1326354	1328521	0.9987	+1.002938	7.052	3.305	0.012	0.250	41.4576	1.0	# HMS SINGLE
24044	07/21	18:50	8.5831	17	C	-1.531	29.045	-4.868	7.865	-1,-1,-1,0,-1,-1	HMSDIS	14590.634	-1.0	+1.0	0.998	1979304	1983620	0.9986	+1.003586	7.052	3.305	0.012	0.250	36.7757	1.0	# 0
24142	07/24	11:13	8.5831	12	C	-1.531	29.045	-3.632	7.865	-1,-1,-1,0,-1,-1	HMSDIS	11629.179	-1.0	+1.0	1.000	1598956	1599297	0.9986	+1.001616	7.052	3.305	0.012	0.250	39.4691	1.0	# 0
24209	07/25	21:24	8.5831	50	C	-1.531	29.045	+6.538	7.865	-1,-1,-1,2,-1,-1	HMSDIS	40321.460	-1.0	+3.0	0.999	1887693	5669040	0.9985	+3.007669	7.052	3.305	0.012	0.250	38.6983	1.0	# 0
24242	07/26	15:14	8.5831	25	C	-1.531	29.045	+4.868	7.865	-1,-1,-1,0,-1,-1	HMSDIS	18163.713	-1.0	+1.0	0.993	2552888	2571721	0.9986	+1.008789	7.052	3.305	0.012	0.250	31.8374	1.0	# 0
24301	07/28	05:33	8.5831	50	C	-1.531	29.045	+3.632	7.865	-1,-1,-1,2,-1,-1	HMSDIS	37492.891	-1.0	+3.0	1.000	1794597	5376778	0.9986	+3.004206	7.052	3.305	0.012	0.250	35.6372	1.0	# 0
24303	07/28	05:54	8.5831	40	C	-1.531	29.045	+3.632	7.865	-1,-1,-1,1,-1,-1	HMSDIS	26995.317	-1.0	+2.0	1.000	1923203	3845226	0.9986	+2.002804	7.052	3.305	0.012	0.250	35.1111	1.0	# 0
24304	07/28	06:13	8.5831	30	C	-1.531	29.045	+3.632	7.865	-1,-1,-1,1,-1,-1	HMSDIS	16679.015	-1.0	+2.0	0.999	1184614	2371334	0.9985	+2.004785	7.052	3.305	0.012	0.250	34.6375	1.0	# 0
24306	07/28	06:52	8.5831	20	C	-1.531	29.045	+3.632	7.865	-1,-1,-1,0,-1,-1	HMSDIS	12365.850	-1.0	+1.0	0.997	1750808	1756882	0.9987	+1.004775	7.052	3.305	0.012	0.250	33.8769	1.0	# 0
24307	07/28	07:06	8.5831	10	C	-1.531	29.045	+3.632	7.865	-1,-1,-1,0,-1,-1	HMSDIS	6859.780	-1.0	+1.0	0.999	974300	975381	0.9985	+1.002613	7.052	3.305	0.012	0.250	33.6706	1.0	# 0
24308	07/28	07:19	8.5831	7	C	-1.531	29.045	+3.632	7.865	-1,-1,-1,0,-1,-1	HMSDIS	4232.298	-1.0	+1.0	0.999	600313	600732	0.9989	+1.001800	7.052	3.305	0.012	0.250	31.8132	1.0	# 0
24309	07/28	07:30	8.5831	3	C	-1.531	29.045	+3.632	7.865	-1,-1,-1,0,-1,-1	HMSDIS	2827.992	-1.0	+1.0	1.000	403578	403677	0.9986	+1.001648	7.052	3.305	0.012	0.250	32.8896	1.0	# 0
24350	07/29	06:11	8.5831	13	C	-1.531	29.045	+3.632	7.865	-1,-1,-1,0,-1,-1	HMSDIS	10543.248	-1.0	+1.0	0.999	1501544	1503391	0.9988	+1.002433	7.052	3.305	0.012	0.250	36.9265	1.0	# 0
24481	08/02	01:54	8.5831	6	C	-1.531	29.045	+2.615	7.865	-1,-1,-1,0,-1,-1	HMSDIS	5533.606	-1.0	+1.0	0.999	776928	777362	0.9986	+1.001961	7.052	3.305	0.012	0.250	32.2382	1.0	# 0
24483	08/02	02:49	8.5831	6	C	-1.531	29.045	+2.615	7.865	-1,-1,3,-1,-1,-1	HMSDIS	5583.717	+5.0	-1.0	1.000	2035956	783061	0.9983	+5.008514	7.052	3.305	0.012	0.250	31.7112	1.0	# 0
24549	08/03	17:02	8.5831	50	C	+1.531	29.045	+6.538	7.865	-1,-1,-1,2,-1,-1	HMSDIS	42868.064	-1.0	+3.0	1.000	2443409	7327156	0.9974	+3.007820	7.052	3.305	0.012	0.250	36.3006	1.0	# 0
24579	08/04	14:09	8.5831	35	C	+1.531	29.045	-6.538	7.865	-1,-1,-1,1,-1,-1	HMSDIS	22890.500	-1.0	+2.0	1.000	2029554	4057570	0.9964	+2.007226	7.052	3.305	0.012	0.250	33.7728	1.0	# 0
24652	08/08	01:45	8.5831	48	C	-1.531	29.045	+3.632	11.075	-1,-1,-1,2,-1,-1	HMSDIS	38628.948	-1.0	+3.0	0.999	1897351	5696474	0.9988	+3.005937	7.052	3.305	0.012	0.250	33.4703	1.0	# 0
