#Run#	date	tstart	ebeam	Ibeam	target	HMSp	HMSth	SHMSp	SHMSth	ps1,ps2,ps3,ps4,ps5,ps6	runtype	BCM2CutCh	Ps3	Ps4	LiveTime	# comments
23934	07/19	02:10	8.5831	10	Carbon	-1.531	29.06	-2.615	7.87	-1,-1,-1,0,-1,-1	HMSDIS	N/A	N/A	N/A	N/A	# 0
23971	07/19	21:14	8.5831	15	Carbon	-1.531	29.06	-6.538	7.87	-1,-1,-1,0,-1,-1	HMSDIS	N/A	N/A	N/A	N/A	# HMS SINGLE
24044	07/21	18:50	8.5831	17	Carbon	-1.531	29.05	-4.868	7.87	-1,-1,-1,0,-1,-1	HMSDIS	14592.518	-1	1	92.4970	# 0
24142	07/24	11:13	8.5831	12	Carbon	-1.531	29.05	-3.632	7.87	-1,-1,-1,-1,-1,0	HMSDIS	11629.179	-1	1	92.4130	# 0
24209	07/25	21:24	8.5831	50	Carbon	-1.531	29.05	+6.538	7.87	-1,-1,-1,2,-1,-1	HMSDIS	40321.460	-1	3	97.4113	# 0
24242	07/26	15:14	8.5831	25	Carbon	-1.531	29.05	+4.868	7.87	-1,-1,-1,0,-1,-1	HMSDIS	18163.713	-1	1	92.2309	# 0
24301	07/28	05:33	8.5831	50	Carbon	-1.531	29.05	+4.868	7.87	-1,-1,-1,2,-1,-1	HMSDIS	37492.891	-1	3	97.3560	# 0
24303	07/28	05:54	8.5831	40	Carbon	-1.531	29.05	+4.868	7.87	-1,-1,-1,1,-1,-1	HMSDIS	26995.317	-1	2	96.0575	# 0
24304	07/28	06:13	8.5831	30	Carbon	-1.531	29.05	+4.868	7.87	-1,-1,-1,1,-1,-1	HMSDIS	16679.015	-1	2	96.0705	# 0
24306	07/28	06:52	8.5831	20	Carbon	-1.531	29.05	+4.868	7.87	-1,-1,-1,0,-1,-1	HMSDIS	12365.850	-1	1	92.1793	# 0
24307	07/28	07:06	8.5831	10	Carbon	-1.531	29.05	+4.868	7.87	-1,-1,-1,0,-1,-1	HMSDIS	6859.780	-1	1	92.1745	# 0
24308	07/28	07:19	8.5831	7	Carbon	-1.531	29.05	+4.868	7.87	-1,-1,-1,0,-1,-1	HMSDIS	4232.298	-1	1	92.1961	# 0
24309	07/28	07:30	8.5831	3	Carbon	-1.531	29.05	+4.868	7.87	-1,-1,-1,0,-1,-1	HMSDIS	2827.992	-1	1	92.1848	# 0
24350	07/29	06:11	8.5831	13	Carbon	-1.531	29.05	+3.632	7.87	-1,-1,-1,0,-1,-1	HMSDIS	10543.248	-1	1	92.1470	# 0
24481	08/02	01:54	8.5831	6	Carbon	-1.531	29.05	+2.615	7.87	-1,-1,-1,0,-1,-1	HMSDIS	5533.606	-1	1	92.3030	# 0
24482	08/02	02:35	8.5831	6	Carbon	-1.531	29.05	+2.615	7.87	-1,-1,0,-1,-1,-1	HMSDIS	2679.289	1	-1	44.2052	# 0
24483	08/02	02:49	8.5831	6	Carbon	-1.531	29.05	+2.615	7.87	-1,-1,3,-1,-1,-1	HMSDIS	5583.717	5	-1	80.0199	# 0
24549	08/03	17:02	8.5831	50	Carbon	+1.531	29.05	+6.538	7.87	-1,-1,-1,2,-1,-1	HMSDIS	42870.028	-1	3	99.2787	# 0
24579	08/04	14:09	8.5831	35	Carbon	+1.531	29.05	-6.538	7.87	-1,-1,-1,1,-1,-1	HMSDIS	22890.500	-1	2	98.8834	# 0
24652	08/08	01:45	8.5831	48	Carbon	-1.531	29.05	+3.632	11.07	-1,-1,-1,2,-1,-1	HMSDIS	38628.948	-1	3	97.2809	# 0
24847	08/13	07:37	8.5831	20	Carbon	+1.531	29.05	-5.265	12.00	-1,-1,-1,0,-1,-1	HMSDIS	9708.635	-1	1	97.7149	# Run during beam studies
24848	08/13	07:59	8.5831	40	Carbon	+1.531	29.05	-5.265	12.00	-1,-1,-1,1,-1,-1	HMSDIS	28461.163	-1	2	98.8266	# Run during beam studies
24849	08/13	08:42	8.5831	40	Carbon	+1.531	29.05	-5.265	12.00	-1,-1,-1,1,-1,-1	HMSDIS	N/A	N/A	N/A	N/A	# Run during beam studies, also EDTM testing
