#Run#	date	tstart	ebeam	Ibeam	target	HMSp	HMSth	SHMSp	SHMSth	ps1,ps2,ps3,ps4,ps5,ps6	runtype	BCM2CutCh	Ps3	Ps4	tLive	PTrigs	hELREAL	TrackEff	# comments
24900	08/15	05:53	10.6716	50	Carbon	-3.642	16.75	+6.538	7.51	-1,-1,-1,4,-1,-1	HMSDIS	51536.678	-1	9	0.998796912799541	1835930	16543273	0.9983	# 0
24931	08/16	13:12	10.6716	35	Carbon	-3.642	16.75	+4.868	7.51	-1,-1,-1,3,-1,-1	HMSDIS	33003.584	-1	5	0.9995063467264054	2104487	10527632	0.9983	# 0
24989	08/17	19:36	10.6716	15	Carbon	-3.642	16.75	+3.632	7.51	-1,-1,-1,1,-1,-1	HMSDIS	13221.911	-1	2	0.9967775826734064	2105737	4225089	0.9985	# 0
25036	08/19	18:17	10.6716	42	Carbon	-3.642	16.75	-6.538	7.51	-1,-1,-1,3,-1,-1	HMSDIS	31017.284	-1	5	0.9987267233075713	1964860	9836825	0.9983	# 0
25101	08/21	20:27	10.6716	18	Carbon	-3.642	16.75	-3.632	7.51	-1,-1,-1,1,-1,-1	HMSDIS	12612.621	-1	2	0.9978702843124259	1998584	4005699	0.9984	# 0
25250	08/25	03:41	10.6716	25	Carbon	-3.642	16.75	+6.538	10.305	-1,-1,-1,2,-1,-1	HMSDIS	23147.065	-1	3	0.9986977326401304	2484984	7464673	0.9984	# 0
25274	08/25	18:54	10.6716	55	Carbon	-3.642	16.75	+4.868	10.305	-1,-1,-1,4,-1,-1	HMSDIS	46312.821	-1	9	0.999412031835687	1664266	14987206	0.9983	# 0
25297	08/26	08:02	10.6716	37	Carbon	-3.642	16.75	+3.632	10.305	-1,-1,-1,3,-1,-1	HMSDIS	18934.643	-1	5	0.9991370506728366	1219644	6103487	0.9983	# 0
25373	08/28	23:33	10.6716	50	Carbon	-3.642	16.75	+3.632	13.51	-1,-1,-1,2,-1,0	HMSDIS	15353.075	-1	3	0.9974545725023107	1636021	4920588	0.9983	# 0
25471	08/30	20:28	10.6716	18	Carbon	+3.642	16.75	+2.615	10.31	-1,-1,-1,1,-1,-1	HMSDIS	13709.134	-1	2	0.9968857050629195	1911637	3835218	0.9873	# 0
