#Run#	date	tstart	ebeam	Ibeam	target	HMSp	HMSth	SHMSp	SHMSth	ps1,ps2,ps3,ps4,ps5,ps6	runtype	BCM2CutCh	Ps3	Ps4	tLive	PTrigs	hELREAL	TrackEff	# comments
24905	08/15	12:01	10.6716	50	Copper	-3.642	16.75	+6.538	7.51	-1,-1,-1,3,-1,-1	HMSDIS	42124.731	-1	5	0.9989962413405432	2205486	11038510	0.9983	# 0
24906	08/15	12:18	10.6716	50	Copper	-3.642	16.75	+6.538	7.51	-1,-1,-1,3,-1,-1	HMSDIS	13350.730	-1	5	1.0	703342	3501430	0.9982	# 0
24936	08/16	15:57	10.6716	40	Copper	-3.642	16.75	+4.868	7.51	-1,-1,-1,3,-1,-1	HMSDIS	39453.036	-1	5	1.0	2061793	10308863	0.9983	# 0
24996	08/17	23:02	10.6716	17	Copper	-3.642	16.75	+3.632	7.51	-1,-1,-1,1,-1,-1	HMSDIS	16711.419	-1	2	0.9982273305469743	2197298	4402400	0.9985	# 0
25042	08/19	21:41	10.6716	45	Copper	-3.642	16.75	-6.538	7.51	-1,-1,-1,3,-1,-1	HMSDIS	35752.363	-1	5	0.997947518129249	1848784	9262932	0.9983	# 0
25106	08/21	23:29	10.6716	21	Copper	-3.642	16.75	-3.632	7.51	-1,-1,-1,1,-1,-1	HMSDIS	15193.759	-1	2	0.9981830178707224	1984025	3975273	0.9985	# 0
25253	08/25	05:44	10.6716	50	Copper	-3.642	16.75	+6.538	10.305	-1,-1,-1,3,-1,-1	HMSDIS	44659.998	-1	5	0.9984537298263191	2344342	11739863	0.9983	# 0
25278	08/25	20:53	10.6716	55	Copper	-3.642	16.75	+4.868	10.305	-1,-1,-1,3,-1,-1	HMSDIS	41663.010	-1	5	0.9988544561973145	2190333	10964225	0.9983	# 0
25302	08/26	12:23	10.6716	47	Copper	-3.642	16.75	+3.632	10.305	-1,-1,-1,3,-1,-1	HMSDIS	38068.317	-1	5	1.0	2002347	10010375	0.9983	# 0
25378	08/29	01:43	10.6716	60	Copper	-3.642	16.75	+3.632	13.51	-1,-1,-1,4,-1,-1	HMSDIS	53369.731	-1	9	0.998684255723552	1550606	13973840	0.9981	# 0
25461	08/30	13:12	10.6716	50	Copper	+3.642	16.75	-3.632	10.31	-1,-1,-1,3,-1,-1	HMSDIS	36040.851	-1	5	0.9989034838994851	1919980	9610438	0.9898	# 0
25470	08/30	20:09	10.6716	18	Copper	+3.642	16.75	+2.615	10.31	-1,-1,-1,1,-1,-1	HMSDIS	11901.958	-1	2	0.9965528885121645	1584835	3180634	0.9894	# 0
