#Run#	Date	tStart	Ebeam	Ibeam	Target	HMSp	HMSth	SHMSp	SHMSth	PrescaleSettings	RunType	BCM2CutCh	Ps3	Ps4	tLive	PTrigs	ELREAL	Eff	Weight	nu	Q2	epsilon	corr_coeff	# Comments
24905	08/15	12:01	10.6716	50	Cu	-3.642	16.750	+6.538	7.510	-1,-1,-1,3,-1,-1	HMSDIS	42124.731	-1.0	+5.0	0.999	2205486	11038510	0.9983	+5.013547	7.030	3.298	0.031	-999	# 0
24906	08/15	12:18	10.6716	50	Cu	-3.642	16.750	+6.538	7.510	-1,-1,-1,3,-1,-1	HMSDIS	13350.730	-1.0	+5.0	1.000	703342	3501430	0.9982	+5.009016	7.030	3.298	0.031	-999	# 0
24936	08/16	15:57	10.6716	40	Cu	-3.642	16.750	+4.868	7.510	-1,-1,-1,3,-1,-1	HMSDIS	39453.036	-1.0	+5.0	1.000	2061793	10308863	0.9983	+5.008514	7.030	3.298	0.031	1.02865	# 0
24996	08/17	23:02	10.6716	17	Cu	-3.642	16.750	+3.632	7.510	-1,-1,-1,1,-1,-1	HMSDIS	16707.464	-1.0	+2.0	0.998	2197298	4401306	0.9985	+2.006063	7.030	3.298	0.031	1.012278	# 0
25042	08/19	21:41	10.6716	45	Cu	-3.642	16.750	-6.538	7.510	-1,-1,-1,3,-1,-1	HMSDIS	35752.363	-1.0	+5.0	0.998	1848784	9262932	0.9983	+5.018816	7.030	3.298	0.031	-999	# 0
25106	08/21	23:29	10.6716	21	Cu	-3.642	16.750	-3.632	7.510	-1,-1,-1,1,-1,-1	HMSDIS	15193.759	-1.0	+2.0	0.998	1984025	3975273	0.9985	+2.006651	7.030	3.298	0.031	-999	# 0
25253	08/25	05:44	10.6716	50	Cu	-3.642	16.750	+6.538	10.305	-1,-1,-1,3,-1,-1	HMSDIS	44659.998	-1.0	+5.0	0.998	2344342	11739863	0.9983	+5.016271	7.030	3.298	0.031	-999	# 0
25278	08/25	20:53	10.6716	55	Cu	-3.642	16.750	+4.868	10.305	-1,-1,-1,3,-1,-1	HMSDIS	41663.010	-1.0	+5.0	0.999	2190333	10964225	0.9983	+5.014259	7.030	3.298	0.031	-999	# 0
25302	08/26	12:23	10.6716	47	Cu	-3.642	16.750	+3.632	10.305	-1,-1,-1,3,-1,-1	HMSDIS	38064.794	-1.0	+5.0	1.000	2002347	10009410	0.9983	+5.008514	7.030	3.298	0.031	-999	# 0
25378	08/29	01:43	10.6716	60	Cu	-3.642	16.750	+3.632	13.510	-1,-1,-1,4,-1,-1	HMSDIS	53369.731	-1.0	+9.0	0.999	1550606	13973840	0.9981	+9.029012	7.030	3.298	0.031	-999	# 0
25461	08/30	13:12	10.6716	50	Cu	+3.642	16.750	-3.632	10.310	-1,-1,-1,3,-1,-1	HMSDIS	36040.851	-1.0	+5.0	0.999	1919980	9610438	0.9898	+5.057071	7.030	3.298	0.031	-999	# 0
25470	08/30	20:09	10.6716	18	Cu	+3.642	16.750	+2.615	10.315	-1,-1,-1,1,-1,-1	HMSDIS	11900.003	-1.0	+2.0	0.997	1584835	3180078	0.9894	+2.028065	7.030	3.298	0.031	-999	# 0
