#Run#	date	tstart	ebeam	Ibeam	target	HMSp	HMSth	SHMSp	SHMSth	ps1,ps2,ps3,ps4,ps5,ps6	runtype	BCM2CutCh	Ps3	Ps4	tLive	PTrigs	hELREAL	TrackEff	# comments
23925	07/19	00:41	8.5831	15	Dummy	-1.531	29.06	-2.615	7.87	-1,-1,-1,1,-1,-1	HMSDIS	27509.941	-1	2	0.999861553233774	1007468	2015215	0.9988	# HMS singles
23968	07/19	19:40	8.5831	20	Dummy	-1.531	29.06	-6.538	7.87	-1,-1,-1,0,-1,-1	HMSDIS	19869.808	-1	1	0.9989403339074044	1464003	1465556	0.9987	# HMS SINGLE
24118	07/23	22:06	8.5831	20	Dummy	-1.531	29.05	-3.632	7.87	-1,-1,-1,0,-1,-1	HMSDIS	15229.991	-1	1	0.9992189359222353	1146257	1147153	0.9986	# 0
24235	07/26	11:22	8.5831	20	Dummy	-1.531	29.05	+4.868	7.87	-1,-1,-1,0,-1,-1	HMSDIS	18786.561	-1	1	0.9996614332159953	1464503	1464999	0.9987	# 0
24340	07/29	01:00	8.5831	20	Dummy	-1.531	29.05	+3.632	7.87	-1,-1,-1,0,-1,-1	HMSDIS	18345.435	-1	1	0.9989746849146677	1430287	1431755	0.9986	# 0
24465	08/01	18:20	8.5831	10	Dummy	-1.531	29.05	+2.615	7.87	-1,-1,-1,0,-1,-1	HMSDIS	8921.530	-1	1	1.0	694805	694588	0.9989	# 0
24466	08/01	18:39	8.5831	10	Dummy	-1.531	29.05	+2.615	7.87	-1,-1,3,-1,-1,-1	HMSDIS	9208.348	5	-1	1.0	1853761	715231	0.9988	# 0
24546	08/03	16:11	8.5831	40	Dummy	+1.531	29.05	+6.538	7.87	-1,-1,-1,0,-1,-1	HMSDIS	28586.218	-1	1	0.9899804347907725	2636209	2662890	0.9968	# 0
24577	08/04	13:18	8.5831	40	Dummy	+1.531	29.05	-6.538	7.87	-1,-1,-1,1,-1,-1	HMSDIS	29601.920	-1	2	0.9999043761779467	1458702	2917683	0.9967	# 0
24644	08/07	21:29	8.5831	40	Dummy	-1.531	29.05	+3.632	11.07	-1,-1,-1,0,-1,-1	HMSDIS	32941.766	-1	1	0.9946796383016132	2630674	2644745	0.9986	# 0
24711	08/09	14:43	8.5831	40	Dummy	-1.531	29.05	-3.632	11.07	-1,-1,-1,1,-1,-1	HMSDIS	38410.838	-1	2	1.0	1576672	3147752	0.9986	# 0
24763	08/11	02:25	8.5831	40	Dummy	-1.531	29.05	-3.632	14.37	-1,-1,-1,-1,-1,-1	HMSDIS	39747.368	-1	2	0.9993886600624602	1612682	3227337	0.9985	# 0
24800	08/12	00:17	8.5831	40	Dummy	-1.531	29.05	+3.632	14.37	-1,-1,-1,0,-1,-1	HMSDIS	34318.465	-1	1	0.9964916271532106	2786074	2795883	0.9986	# Beam off for 25 minutes at start
