#Run#	Date	tStart	Ebeam	Ibeam	Target	HMSp	HMSth	SHMSp	SHMSth	PrescaleSettings	RunType	BCM2CutCh	Ps3	Ps4	tLive	PTrigs	ELREAL	Eff	Weight	nu	Q2	epsilon	corr_coeff	# Comments
24895	08/15	02:39	10.6716	40	Dummy	-3.642	16.750	+6.538	7.510	-1,-1,-1,2,-1,-1	HMSDIS	35515.617	-1.0	+3.0	0.998	2251486	6768770	0.9985	+3.010873	7.030	3.298	0.031	-999	# 0
24925	08/16	00:23	10.6716	40	Dummy	-3.642	16.750	+4.868	7.510	-1,-1,-1,2,-1,-1	HMSDIS	30452.810	-1.0	+3.0	0.998	1929608	5801618	0.9984	+3.011449	7.030	3.298	0.031	-999	# 0
24983	08/17	16:36	10.6716	20	Dummy	-3.642	16.750	+3.632	7.510	-1,-1,-1,0,-1,-1	HMSDIS	12121.450	-1.0	+1.0	0.986	2280312	2313791	0.9984	+1.016308	7.030	3.298	0.031	-999	# 0
25028	08/19	07:11	10.6716	40	Dummy	-3.642	16.750	-6.538	7.510	-1,-1,-1,2,-1,-1	HMSDIS	34190.131	-1.0	+3.0	0.998	2147235	6457117	0.9985	+3.011695	7.030	3.298	0.031	-999	# 0
25057	08/20	05:32	10.6716	40	Dummy	-3.642	16.750	-4.868	7.510	-1,-1,-1,2,-1,-1	HMSDIS	32985.370	-1.0	+3.0	0.999	2074804	6231134	0.9983	+3.008354	7.030	3.298	0.031	-999	# 0
25094	08/21	17:21	10.6716	20	Dummy	-3.642	16.750	-3.632	7.510	-1,-1,-1,0,-1,-1	HMSDIS	11451.242	-1.0	+1.0	0.985	2137771	2170655	0.9984	+1.017010	7.030	3.298	0.031	-999	# 0
25136	08/22	14:54	10.6716	40	Dummy	-3.642	16.750	-6.538	10.305	-1,-1,-1,1,-1,-1	HMSDIS	18132.526	-1.0	+2.0	0.997	1716540	3442990	0.9984	+2.008988	7.030	3.298	0.031	-999	# 0
25137	08/22	15:10	10.6716	40	Dummy	-3.642	16.750	-6.538	10.305	-1,-1,3,-1,-1,-1	HMSDIS	7304.846	+5.0	-1.0	1.000	874079	1391806	0.9984	+5.008013	7.030	3.298	0.031	-999	# 0
25155	08/22	23:35	10.6716	40	Dummy	-3.642	16.750	-4.868	10.305	-1,-1,-1,3,-1,-1	HMSDIS	35517.651	-1.0	+5.0	0.998	1344626	6735632	0.9984	+5.017325	7.030	3.298	0.031	-999	# 0
25215	08/24	09:38	10.6716	40	Dummy	-3.642	16.750	-2.615	10.305	-1,-1,-1,2,-1,-1	HMSDIS	33084.166	-1.0	+3.0	0.998	2097420	6306436	0.9984	+3.011577	7.030	3.298	0.031	-999	# 0
25243	08/25	00:05	10.6716	40	Dummy	-3.642	16.750	+6.538	10.305	-1,-1,-1,2,-1,-1	HMSDIS	38523.204	-1.0	+3.0	0.998	2453236	7373562	0.9983	+3.010766	7.030	3.298	0.031	-999	# 0
25270	08/25	17:04	10.6716	40	Dummy	-3.642	16.750	+4.868	10.305	-1,-1,-1,2,-1,-1	HMSDIS	37345.061	-1.0	+3.0	0.998	2383354	7162741	0.9984	+3.010136	7.030	3.298	0.031	-999	# 0
25294	08/26	06:35	10.6716	40	Dummy	-3.642	16.750	+3.632	10.305	-1,-1,-1,2,-1,-1	HMSDIS	30470.169	-1.0	+3.0	0.998	1941611	5839253	0.9983	+3.012548	7.030	3.298	0.031	-999	# 0
25369	08/28	21:30	10.6716	40	Dummy	-3.642	16.750	+3.632	13.510	-1,-1,-1,0,-1,-1	HMSDIS	14819.446	-1.0	+1.0	0.763	2155168	2825087	0.9984	+1.312944	7.030	3.298	0.031	-999	# 0
