#Run#	Date	tStart	Ebeam	Ibeam	Target	HMSp	HMSth	SHMSp	SHMSth	PrescaleSettings	RunType	BCM2CutCh	Ps3	Ps4	tLive	PTrigs	ELREAL	Eff	Weight	nu	Q2	epsilon	corr_coeff	# Comments
23918	07/18	22:45	8.5831	10	LD2	-1.531	29.045	-2.615	7.865	-1,-1,-1,3,-1,-1	HMSDIS	9184.910	-1.0	+5.0	1.000	402725	2007381	0.9986	+5.007010	7.052	3.305	0.012	-999	# 0
23919	07/18	23:05	8.5831	10	LD2	-1.531	29.045	-2.615	7.865	-1,-1,-1,2,-1,-1	HMSDIS	17683.696	-1.0	+3.0	1.000	1289127	3865708	0.9987	+3.003905	7.052	3.305	0.012	1.007323	# HMS singles
24027	07/21	06:47	8.5831	10	LD2	-1.531	29.045	-4.868	7.865	-1,-1,-1,0,-1,-1	HMSDIS	10654.629	-1.0	+1.0	1.000	2415849	2412692	0.9987	+1.001302	7.052	3.305	0.012	1.007279	# 0
24205	07/25	19:23	8.5831	25	LD2	-1.531	29.045	+6.538	7.865	-1,-1,-1,1,-1,-1	HMSDIS	14010.274	-1.0	+2.0	0.999	1619597	3243295	0.9985	+2.005540	7.052	3.305	0.012	-999	# 0
24221	07/26	03:30	8.5831	12	LD2	-1.531	29.045	+4.868	7.865	-1,-1,-1,0,-1,-1	HMSDIS	9159.282	-1.0	+1.0	0.996	2144017	2151563	0.9987	+1.004826	7.052	3.305	0.012	-999	# 0
24256	07/26	22:21	8.5831	35	LD2	-1.531	29.045	+4.868	7.865	-1,-1,-1,2,-1,-1	HMSDIS	26708.694	-1.0	+3.0	0.999	2115701	6355085	0.9985	+3.008285	7.052	3.305	0.012	-999	# 0
24284	07/27	13:30	8.5831	50	LD2	-1.531	29.045	+4.868	7.865	-1,-1,-1,3,-1,-1	HMSDIS	39355.341	-1.0	+5.0	1.000	1878171	9377941	0.9986	+5.007010	7.052	3.305	0.012	-999	# 0
24285	07/27	13:49	8.5831	40	LD2	-1.531	29.045	+4.868	7.865	-1,-1,-1,2,-1,-1	HMSDIS	25251.191	-1.0	+3.0	0.999	2001899	6009121	0.9986	+3.005919	7.052	3.305	0.012	-999	# 0
24286	07/27	14:08	8.5831	30	LD2	-1.531	29.045	+4.868	7.865	-1,-1,-1,2,-1,-1	HMSDIS	27198.628	-1.0	+3.0	1.000	2158011	6472181	0.9985	+3.004507	7.052	3.305	0.012	1.020198	# 0
24287	07/27	14:28	8.5831	20	LD2	-1.531	29.045	+4.868	7.865	-1,-1,-1,1,-1,-1	HMSDIS	19765.710	-1.0	+2.0	1.000	2356754	4711903	0.9986	+2.002804	7.052	3.305	0.012	1.013505	# 0
24289	07/27	15:04	8.5831	10	LD2	-1.531	29.045	+4.868	7.865	-1,-1,-1,0,-1,-1	HMSDIS	10866.832	-1.0	+1.0	0.998	2586318	2591020	0.9987	+1.003122	7.052	3.305	0.012	1.007568	# 0
24290	07/27	15:38	8.5831	7	LD2	-1.531	29.045	+4.868	7.865	-1,-1,-1,0,-1,-1	HMSDIS	11184.157	-1.0	+1.0	0.999	2667244	2668905	0.9987	+1.001925	7.052	3.305	0.012	1.005263	# 0
24291	07/27	16:09	8.5831	3	LD2	-1.531	29.045	+4.868	7.865	-1,-1,-1,0,-1,-1	HMSDIS	1821.887	-1.0	+1.0	1.000	438904	437652	0.9986	+1.001402	7.052	3.305	0.012	-999	# 0
24319	07/28	13:46	8.5831	7	LD2	-1.531	29.045	+3.632	7.865	-1,-1,-1,0,-1,-1	HMSDIS	6292.534	-1.0	+1.0	1.000	1495489	1489869	0.9986	+1.001402	7.052	3.305	0.012	1.005184	# 0
24438	08/01	03:08	8.5831	8	LD2	-1.531	29.045	+2.615	7.865	-1,-1,-1,0,-1,-1	HMSDIS	7587.426	-1.0	+1.0	0.998	1776435	1779214	0.9987	+1.002868	7.052	3.305	0.012	-999	# 0
24440	08/01	03:28	8.5831	8	LD2	-1.531	29.045	+2.615	7.865	-1,-1,4,-1,-1,-1	HMSDIS	6871.142	+9.0	-1.0	1.000	2359205	1611096	0.9989	+9.009911	7.052	3.305	0.012	-999	# 0
24537	08/03	12:09	8.5831	35	LD2	+1.531	29.045	+6.538	7.865	-1,-1,-1,3,-1,-1	HMSDIS	3579.310	-1.0	+5.0	1.000	189281	938331	0.9975	+5.012531	7.052	3.305	0.012	-999	# Only 1 minute of beam time here. Beam down. Will return to this setting.
24541	08/03	14:11	8.5831	35	LD2	+1.531	29.045	+6.538	7.865	-1,-1,-1,2,-1,-1	HMSDIS	27645.768	-1.0	+3.0	1.000	2431676	7289060	0.9966	+3.010235	7.052	3.305	0.012	1.021347	# 0
24573	08/04	11:16	8.5831	35	LD2	+1.531	29.045	-6.538	7.865	-1,-1,-1,2,-1,-1	HMSDIS	20880.662	-1.0	+3.0	1.000	1956486	5870213	0.9971	+3.009112	7.052	3.305	0.012	1.01733	# 0
24626	08/07	02:00	8.5831	40	LD2	-1.531	29.045	+3.632	11.075	-1,-1,-1,2,-1,-1	HMSDIS	27901.383	-1.0	+3.0	1.000	2256944	6773311	0.9985	+3.005607	7.052	3.305	0.012	-999	# 0
