#Run#	Date	tStart	Ebeam	Ibeam	Target	HMSp	HMSth	SHMSp	SHMSth	PrescaleSettings	RunType	BCM2CutCh	Ps3	Ps4	tLive	PTrigs	ELREAL	Eff	Weight	nu	Q2	epsilon	xbj	fan_mean	fancorr	# Comments
24884	08/14	17:52	10.6716	40	LD2	-3.642	16.750	+6.538	7.510	-1,-1,-1,3,-1,-1	HMSDIS	20849.573	-1.0	+5.0	0.998	2097492	10509322	0.9983	+5.018955	7.030	3.298	0.031	0.250	32.5109	1.0	# 0
24911	08/15	16:00	10.6716	9.5	LD2	-3.642	16.750	+4.868	7.510	-1,-1,-1,1,-1,-1	HMSDIS	8933.895	-1.0	+2.0	0.997	2265267	4544238	0.9985	+2.009063	7.030	3.298	0.031	0.250	33.3149	1.0	# 0
24967	08/17	09:02	10.6716	8	LD2	-3.642	16.750	+3.632	7.510	-1,-1,-1,1,-1,-1	HMSDIS	8497.865	-1.0	+2.0	0.997	2152668	4317751	0.9985	+2.008780	7.030	3.298	0.031	0.250	33.886	1.0	# 0
25023	08/19	02:16	10.6716	13	LD2	-3.642	16.750	-6.538	7.510	-1,-1,-1,2,-1,-1	HMSDIS	12349.037	-1.0	+3.0	0.997	2065198	6211613	0.9983	+3.012879	7.030	3.298	0.031	0.250	32.8236	1.0	# 0
25047	08/20	00:10	10.6716	9	LD2	-3.642	16.750	-4.868	7.510	-1,-1,-1,1,-1,-1	HMSDIS	8526.728	-1.0	+2.0	0.998	2142954	4294185	0.9985	+2.006873	7.030	3.298	0.031	0.250	33.6139	1.0	# 0
25081	08/21	04:43	10.6716	8	LD2	-3.642	16.750	-3.632	7.510	-1,-1,-1,1,-1,-1	HMSDIS	7739.874	-1.0	+2.0	0.998	1951268	3911625	0.9986	+2.007468	7.030	3.298	0.031	0.250	33.5192	1.0	# 0
25125	08/22	10:25	10.6716	20	LD2	-3.642	16.750	-6.538	10.305	-1,-1,-1,2,-1,-1	HMSDIS	14326.235	-1.0	+3.0	1.000	2392833	7181365	0.9984	+3.006007	7.030	3.298	0.031	0.250	33.8364	1.0	# 0
25142	08/22	18:00	10.6716	25	LD2	-3.642	16.750	-4.868	10.305	-1,-1,-1,3,-1,-1	HMSDIS	22549.660	-1.0	+5.0	1.000	2266180	11336488	0.9984	+5.010483	7.030	3.298	0.031	0.250	33.1165	1.0	# 0
25145	08/22	18:43	10.6716	25	LD2	-3.642	16.750	-4.868	10.305	-1,-1,-1,3,-1,-1	HMSDIS	7701.181	-1.0	+5.0	1.000	775045	3875984	0.9985	+5.008492	7.030	3.298	0.031	0.250	37.0287	1.0	# 0
25178	08/23	14:00	10.6716	20	LD2	-3.642	16.750	-3.632	10.305	-1,-1,-1,3,-1,-1	HMSDIS	16728.126	-1.0	+5.0	0.998	1686748	8449852	0.9984	+5.017580	7.030	3.298	0.031	0.250	33.2628	1.0	# HMS singles run, this one still looks good.
25232	08/24	19:25	10.6716	25	LD2	-3.642	16.750	+6.538	10.305	-1,-1,-1,3,-1,-1	HMSDIS	18826.275	-1.0	+5.0	0.998	1906248	9548487	0.9984	+5.017075	7.030	3.298	0.031	0.250	34.3284	1.0	# 0
25260	08/25	11:45	10.6716	25	LD2	-3.642	16.750	+4.868	10.305	-1,-1,-1,3,-1,-1	HMSDIS	22555.611	-1.0	+5.0	0.999	2289540	11460915	0.9983	+5.014296	7.030	3.298	0.031	0.250	34.1466	1.0	# 0
25284	08/26	02:06	10.6716	10	LD2	-3.642	16.750	+3.632	10.305	-1,-1,-1,1,-1,-1	HMSDIS	8098.224	-1.0	+2.0	0.997	2060797	4134469	0.9985	+2.009261	7.030	3.298	0.031	0.250	27.4146	1.0	# 0
25367	08/28	20:32	10.6716	22	LD2	-3.642	16.750	+3.632	13.510	-1,-1,-1,2,-1,-1	HMSDIS	12639.308	-1.0	+3.0	0.998	2126535	6391865	0.9984	+3.010582	7.030	3.298	0.031	0.250	51.8957	1.0	# 0
25473	08/30	21:13	10.6716	10	LD2	+3.642	16.750	+2.615	10.315	-1,-1,-1,1,-1,-1	HMSDIS	7274.047	-1.0	+2.0	0.997	1520488	3051379	0.9894	+2.028342	7.030	3.298	0.031	0.250	44.9968	1.0	# 0
