#Run#	Date	tStart	Ebeam	Ibeam	Target	HMSp	HMSth	SHMSp	SHMSth	PrescaleSettings	RunType	BCM2CutCh	Ps3	Ps4	tLive	PTrigs	ELREAL	Eff	Weight	nu	Q2	epsilon	xbj	fan_mean	boilcorr	# Comments
23909	07/18	19:25	8.5831	10	LH2	-1.531	29.045	-2.615	7.865	-1,-1,-1,0,-1,-1	HMSDIS	18195.812	-1.0	+1.0	0.999	1513976	1514786	0.9986	+1.001938	7.052	3.305	0.012	0.250	40.3523	1.0	# HMS singles
23963	07/19	16:31	8.5831	10	LH2	-1.531	29.045	-6.538	7.865	-1,-1,-1,0,-1,-1	HMSDIS	16769.471	-1.0	+1.0	1.000	1403361	1402827	0.9986	+1.001402	7.052	3.305	0.012	0.250	38.2156	1.0	# HMS singles
24017	07/21	00:44	8.5831	13	LH2	-1.531	29.045	-4.868	7.865	-1,-1,-1,0,-1,-1	HMSDIS	21110.360	-1.0	+1.0	1.000	1808737	1809417	0.9986	+1.001778	7.052	3.305	0.012	0.250	40.1301	1.0	# HMS SINGLE
24083	07/22	20:05	8.5831	30	LH2	-1.531	29.045	-4.868	7.865	-1,-1,-1,0,-1,-1	HMSDIS	25307.677	-1.0	+1.0	0.997	2160219	2165997	0.9987	+1.003980	7.052	3.305	0.012	0.250	35.7608	1.0	# 0
24136	07/24	07:59	8.5831	10	LH2	-1.531	29.045	-3.632	7.865	-1,-1,-1,0,-1,-1	HMSDIS	10381.412	-1.0	+1.0	0.999	891245	891751	0.9986	+1.001971	7.052	3.305	0.012	0.250	36.1495	1.0	# 0
24183	07/25	07:22	8.5831	30	LH2	-1.531	29.045	-3.632	7.865	-1,-1,-1,0,-1,-1	HMSDIS	24389.251	-1.0	+1.0	0.999	2105931	2107751	0.9988	+1.002067	7.052	3.305	0.012	0.250	36.0103	1.0	# 0
24184	07/25	07:57	8.5831	10	LH2	-1.531	29.045	-3.632	7.865	-1,-1,-1,0,-1,-1	HMSDIS	9512.122	-1.0	+1.0	0.999	828791	829253	0.9988	+1.001760	7.052	3.305	0.012	0.250	36.2081	1.0	# 0
24198	07/25	16:25	8.5831	17	LH2	-1.531	29.045	+6.538	7.865	-1,-1,-1,0,-1,-1	HMSDIS	11755.185	-1.0	+1.0	1.000	1029748	1027532	0.9988	+1.001201	7.052	3.305	0.012	0.250	36.4624	1.0	# 0
24231	07/26	09:23	8.5831	17	LH2	-1.531	29.045	+4.868	7.865	-1,-1,-1,0,-1,-1	HMSDIS	14463.589	-1.0	+1.0	0.999	1277961	1279101	0.9986	+1.002295	7.052	3.305	0.012	0.250	33.3912	1.0	# 0
24265	07/27	02:50	8.5831	17	LH2	-1.531	29.045	+4.868	7.865	-1,-1,-1,0,-1,-1	HMSDIS	15262.784	-1.0	+1.0	0.999	1369655	1371303	0.9986	+1.002607	7.052	3.305	0.012	0.250	35.1981	1.0	# 0
24292	07/27	16:25	8.5831	3	LH2	-1.531	29.045	+4.868	7.865	-1,-1,-1,0,-1,-1	HMSDIS	1743.428	-1.0	+1.0	1.000	160194	159223	0.9988	+1.001201	7.052	3.305	0.012	0.250	37.4106	1.0	# 0
24293	07/27	16:40	8.5831	7	LH2	-1.531	29.045	+4.868	7.865	-1,-1,-1,0,-1,-1	HMSDIS	3124.402	-1.0	+1.0	1.000	283215	282267	0.9988	+1.001201	7.052	3.305	0.012	0.250	38.2117	1.0	# 0
24294	07/27	16:53	8.5831	10	LH2	-1.531	29.045	+4.868	7.865	-1,-1,-1,0,-1,-1	HMSDIS	3244.208	-1.0	+1.0	1.000	296319	293510	0.9991	+1.000901	7.052	3.305	0.012	0.250	38.0453	1.0	# 0
24295	07/27	17:07	8.5831	20	LH2	-1.531	29.045	+4.868	7.865	-1,-1,-1,0,-1,-1	HMSDIS	10068.830	-1.0	+1.0	1.000	904494	903663	0.9988	+1.001201	7.052	3.305	0.012	0.250	35.5491	1.0	# 0
24296	07/27	17:18	8.5831	30	LH2	-1.531	29.045	+3.632	7.865	-1,-1,-1,0,-1,-1	HMSDIS	15352.467	-1.0	+1.0	1.000	1368849	1368799	0.9987	+1.001302	7.052	3.305	0.012	0.250	32.2484	1.0	# 0
24297	07/27	17:30	8.5831	40	LH2	-1.531	29.045	+3.632	7.865	-1,-1,-1,1,-1,-1	HMSDIS	6613.065	-1.0	+2.0	1.000	295661	587708	0.9989	+2.002202	7.052	3.305	0.012	0.250	33.204	1.0	# 0
24298	07/27	17:35	8.5831	40	LH2	-1.531	29.045	+3.632	7.865	-1,-1,-1,1,-1,-1	HMSDIS	20614.408	-1.0	+2.0	1.000	915224	1831146	0.9985	+2.003768	7.052	3.305	0.012	0.250	31.9789	1.0	# 0
24299	07/27	17:51	8.5831	50	LH2	-1.531	29.045	+3.632	7.865	-1,-1,-1,3,-1,-1	HMSDIS	38928.316	-1.0	+5.0	1.000	688154	3440614	0.9987	+5.006508	7.052	3.305	0.012	0.250	34.2467	1.0	# 0
24333	07/28	20:48	8.5831	10	LH2	-1.531	29.045	+3.632	7.865	-1,-1,-1,0,-1,-1	HMSDIS	6816.561	-1.0	+1.0	1.000	610881	608212	0.9985	+1.001502	7.052	3.305	0.012	0.250	36.2835	1.0	# 0
24455	08/01	14:56	8.5831	8	LH2	-1.531	29.045	+2.615	7.865	-1,-1,-1,0,-1,-1	HMSDIS	6894.051	-1.0	+1.0	1.000	612220	612482	0.9987	+1.001730	7.052	3.305	0.012	0.250	31.4895	1.0	# 0
24456	08/01	15:11	8.5831	8	LH2	-1.531	29.045	+2.615	7.865	-1,-1,3,-1,-1,-1	HMSDIS	11432.583	+5.0	-1.0	1.000	2477753	1014265	0.9987	+5.006508	7.052	3.305	0.012	0.250	31.6443	1.0	# 0
24544	08/03	15:17	8.5831	50	LH2	+1.531	29.045	+6.538	7.865	-1,-1,-1,2,-1,-1	HMSDIS	48635.877	-1.0	+3.0	1.000	2444397	7326343	0.9966	+3.010235	7.052	3.305	0.012	0.250	36.5914	1.0	# 0
24575	08/04	12:21	8.5831	35	LH2	+1.531	29.045	-6.538	7.865	-1,-1,-1,1,-1,-1	HMSDIS	26357.284	-1.0	+2.0	1.000	2099872	4196054	0.9964	+2.007226	7.052	3.305	0.012	0.250	32.47	1.0	# 0
24637	08/07	08:44	8.5831	16	LH2	-1.531	29.045	+3.632	11.075	-1,-1,-1,1,-1,-1	HMSDIS	50134.070	-1.0	+2.0	1.000	2261578	4524929	0.9984	+2.003990	7.052	3.305	0.012	0.250	34.5857	1.0	# 0
24705	08/09	11:04	8.5831	55	LH2	-1.531	29.045	-3.632	11.075	-1,-1,-1,2,-1,-1	HMSDIS	44778.726	-1.0	+2.0	1.000	2031087	4063392	0.9986	+2.003404	7.052	3.305	0.012	0.250	33.3111	1.0	# 0
24750	08/10	19:44	8.5831	55	LH2	-1.531	29.045	-3.632	14.375	-1,-1,-1,1,-1,-1	HMSDIS	52963.281	-1.0	+2.0	0.999	2376313	4758407	0.9986	+2.005240	7.052	3.305	0.012	0.250	33.9293	1.0	# 0
24792	08/11	20:33	8.5831	55	LH2	-1.531	29.045	+3.632	14.375	-1,-1,-1,0,-1,-1	HMSDIS	31396.437	-1.0	+1.0	0.954	2689919	2820192	0.9985	+1.050005	7.052	3.305	0.012	0.250	34.0298	1.0	# Wrong prescale, but good DT test
