runnum,run_type,target,phase,xbj,q2,ebeam,ibeam_1,ibeam_2,ibeam_4a,ibeam_4c,qbeam_1,qbeam_2,qbeam_4a,qbeam_4c,hms_p,hms_th,hms_th_rad,ps3,ps4,trackeff,nu,boil_corr,epsilon,weight,3of4_rate,3of4_counts,elclean_rate,elclean_counts
23853,HMSDIS,LH2,I,0.2994724050124313,2.2945927662044525,8.5831,47.424,47.519,-0.0,47.26,22794.157,22839.369,-999.0,22716.862,-4.5,14.0,0.24434609527920614,17.0,-1.0,0.999,4.0831,1.023096,0.1089370149932211,17.417183087107755,,47.601,28.58,13736824.0
23855,HMSDIS,LH2,I,0.2994724050124313,2.2945927662044525,8.5831,32.225,32.241,-0.0,32.01,17960.367,17969.184,-999.0,17840.346,-4.5,14.0,0.24434609527920614,-1.0,9.0,0.9992,4.0831,1.013804,0.1089370149932211,9.13154123298639,,32.445,19.517,10877479.0
23857,HMSDIS,LH2,I,0.2994724050124313,2.2945927662044525,8.5831,39.762,39.758,4.259,39.4,31050.512,31046.851,3325.491,30772.876,-4.5,14.0,0.24434609527920614,17.0,-1.0,0.9991,4.0831,1.018787,0.1089370149932211,17.334980482434194,,39.974,23.989,18733230.0
23858,HMSDIS,LH2,I,0.2994724050124313,2.2945927662044525,8.5831,41.343,41.332,-0.0,40.88,40064.204,40053.473,-999.0,39620.771,-4.5,14.0,0.24434609527920614,17.0,-1.0,0.999,4.0831,1.015814,0.1089370149932211,17.28612412412412,,41.739,5.489,5319628.0
23859,HMSDIS,LH2,I,0.2994724050124313,2.2945927662044525,8.5831,35.178,35.167,12.26,34.88,33118.389,33108.038,11543.784,32837.345,-4.5,14.0,0.24434609527920614,-1.0,9.0,0.9991,4.0831,1.015763,0.1089370149932211,9.150102091882694,,35.374,21.309,20061244.0
23860,HMSDIS,Dummy,I,0.2994724050124313,2.2945927662044525,8.5831,25.393,25.396,25.2,25.19,41158.239,41163.051,40848.223,40837.844,-4.5,14.0,0.24434609527920614,-1.0,9.0,0.9993,4.0831,1.0,0.1089370149932211,9.006304413089163,,19.353,10.92,17699644.0
23909,HMSDIS,LH2,I,0.24975789710096158,3.3051904135289774,8.5831,10.145,10.194,10.08,10.07,18204.238,18293.203,18095.569,18079.824,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.003852,0.011528907008166632,1.0045852407397045,,10.917,0.204,366311.0
23918,HMSDIS,LD2,I,0.24975789710096158,3.3051904135289774,8.5831,9.949,10.003,9.98,9.981,9147.05,9197.408,9176.062,9177.07,-1.531,29.045,0.506930881241753,-1.0,5.0,0.9996,7.0521,1.003494,0.011528907008166632,5.019477791116446,,30.468,0.381,350598.0
23919,HMSDIS,LD2,I,0.24975789710096158,3.3051904135289774,8.5831,9.973,10.028,9.96,9.945,17649.756,17746.725,17626.362,17601.119,-1.531,29.045,0.506930881241753,-1.0,3.0,0.9997,7.0521,1.003503,0.011528907008166632,3.011412423727118,,30.539,0.384,678843.0
23925,HMSDIS,Dummy,I,0.24975789710096158,3.3051904135289774,8.5831,15.308,15.353,15.29,15.31,27524.751,27606.581,27502.137,27528.766,-1.531,29.045,0.506930881241753,-1.0,2.0,0.9998,7.0521,1.0,0.011528907008166632,2.0006801752405368,,15.256,0.221,396839.0
23934,HMSDIS,C,I,0.24975789710096158,3.3051904135289774,8.5831,9.912,9.968,9.854,9.843,16905.872,17002.416,16807.415,16788.772,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.0,0.011528907008166632,1.0002000400080016,,17.949,0.259,441543.0
23938,HMSDIS,Cu,I,0.24975789710096158,3.3051904135289774,8.5831,9.927,9.983,9.947,9.957,11204.361,11266.779,11226.369,11238.493,-1.531,29.045,0.506930881241753,-1.0,1.0,0.9998,7.0521,1.0,0.011528907008166632,1.0002000400080016,,16.362,0.231,260627.0
