runnum,gooddis,normyield	date	start_time	beam_energy	target	hms_p	hms_th	shms_p	shms_th	prescales	comments
23855,680875,1.58685	07/16	16:31	8.565	max	LH2	-4.50	14.00	-4.50	14.00	-1,-1,-1,4,-1,-1
23857,636673,1.47879	07/16	17:25	8.565	max	LH2	-4.50	14.00	-4.50	14.00	-1,-1,5,-1,-1,-1
23858,839230,21.4198	07/16	18:12	8.565	max	LH2	-4.50	14.00	-4.50	14.00	-1,-1,5,-1,-1,-1
23859,1.3995e+06,43.9871	07/16	18:48	8.565	35	LH2	-4.50	14.00	-4.50	14.00	-1,-1,-1,4,-1,-1
23909,246368,0.552017	07/18	19:25	8.565	10	LH2	-1.531	29.06	-2.615	7.87	-1,-1,-1,0,-1,-1
23919,149777,0.33597	07/18	23:05	8.565	10	LD2	-1.531	29.06	-2.615	7.87	-1,-1,-1,2,-1,-1
23925,132073,0.289352	07/19	00:41	8.565	15	Dummy	-1.531	29.06	-2.615	7.87	-1,-1,-1,1,-1,-1
24017,286382,14.65	07/21	00:44	8.565	13	LH2	-1.531	29.06	-4.868	7.87	-1,-1,-1,0,-1,-1
24027,271299,27.4334	07/21	06:47	8.565	10	LD2	-1.531	29.05	-4.868	7.87	-1,-1,-1,0,-1,-1
24044,252993,18.6556	07/21	18:50	8.565	17	Carbon	-1.531	29.05	-4.868	7.87	-1,-1,-1,0,-1,-1
24052,250599,16.421	07/21	22:35	8.565	20	Copper	-1.531	29.05	-4.868	7.87	-1,-1,-1,0,-1,-1
24083,341044,14.5462	07/22	20:05	8.565	30	LH2	-1.531	29.05	-4.868	7.87	-1,-1,-1,0,-1,-1
24114,198655,27.4545	07/23	20:16	8.565	9	LD2	-1.531	29.05	-3.632	7.87	-1,-1,-1,0,-1,-1
24118,146673,10.4469	07/23	22:06	8.565	20	Dummy	-1.531	29.05	-3.632	7.87	-1,-1,-1,0,-1,-1
24136,140460,14.5773	07/24	07:59	8.565	10	LH2	-1.531	29.05	-3.632	7.87	-1,-1,-1,0,-1,-1
24142,203131,18.7927	07/24	11:13	8.565	12	Carbon	-1.531	29.05	-3.632	7.87	-1,-1,-1,-1,-1,0
24148,207592,16.5212	07/24	14:29	8.565	15	Copper	-1.531	29.05	-3.632	7.87	-1,-1,-1,-1,-1,0
24183,328823,14.6867	07/25	07:22	8.565	30	LH2	-1.531	29.05	-3.632	7.87	-1,-1,-1,0,-1,-1
24184,128786,14.6735	07/25	07:57	8.565	10	LH2	-1.531	29.05	-3.632	7.87	-1,-1,-1,0,-1,-1
24198,159993,14.8916	07/25	16:25	8.565	17	LH2	-1.531	29.05	+6.538	7.87	-1,-1,-1,0,-1,-1
24205,178322,13.2878	07/25	19:23	8.565	25	LD2	-1.531	29.05	+6.538	7.87	-1,-1,-1,1,-1,-1
24209,233562,5.94517	07/25	21:24	8.565	50	Carbon	-1.531	29.05	+6.538	7.87	-1,-1,-1,2,-1,-1
24212,134440,5.21365	07/25	22:45	8.565	50	Copper	-1.531	29.05	+6.538	7.87	-1,-1,-1,2,-1,-1
24221,234093,27.5453	07/26	03:30	8.565	12	LD2	-1.531	29.05	+4.868	7.87	-1,-1,-1,0,-1,-1
24231,196103,14.7281	07/26	09:23	8.565	17	LH2	-1.531	29.05	+4.868	7.87	-1,-1,-1,0,-1,-1
24235,180927,10.458	07/26	11:22	8.565	20	Dummy	-1.531	29.05	+4.868	7.87	-1,-1,-1,0,-1,-1
24242,314626,18.8532	07/26	15:14	8.565	25	Carbon	-1.531	29.05	+4.868	7.87	-1,-1,-1,0,-1,-1
24249,263749,7.89215	07/26	18:46	8.565	50	Copper	-1.531	29.05	+4.868	7.87	-1,-1,-1,1,-1,-1
24256,224587,8.62046	07/26	22:21	8.565	35	LD2	-1.531	29.05	+4.868	7.87	-1,-1,-1,2,-1,-1
24265,206738,14.707	07/27	02:50	8.565	17	LH2	-1.531	29.05	+4.868	7.87	-1,-1,-1,0,-1,-1
24284,198893,5.16568	07/27	13:30	8.565	50	LD2	-1.531	29.05	+4.868	7.87	-1,-1,-1,3,-1,-1
24285,212792,8.72892	07/27	13:49	8.565	40	LD2	-1.531	29.05	+4.868	7.87	-1,-1,-1,2,-1,-1
24286,229828,8.76881	07/27	14:08	8.565	30	LD2	-1.531	29.05	+4.868	7.87	-1,-1,-1,2,-1,-1
24287,252616,13.4372	07/27	14:28	8.565	20	LD2	-1.531	29.05	+4.868	7.87	-1,-1,-1,1,-1,-1
24289,278264,28.0276	07/27	15:04	8.565	10	LD2	-1.531	29.05	+4.868	7.87	-1,-1,-1,0,-1,-1
24290,287114,28.0565	07/27	15:38	8.565	7	LD2	-1.531	29.05	+4.868	7.87	-1,-1,-1,0,-1,-1
