#runnum	fit_mean	fit_error
23839	0.971952	0.041972
23840	0.973893	0.041592
23841	0.974140	0.041003
23842	0.974616	0.041530
23844	0.974496	0.041177
23845	0.974624	0.040770
23846	0.975465	0.040655
23847	0.975626	0.040748
23848	0.976072	0.040818
23849	0.961977	0.041481
23850	0.962655	0.040778
23851	0.962532	0.041859
23856	0.953638	0.042084
23862	0.953185	0.045224
23864	0.956065	0.044023
23865	0.957222	0.043832
23866	0.957322	0.042866
23867	0.961911	0.043529
23868	0.963135	0.042558
23876	0.947135	0.049121
23878	0.953712	0.056148
23879	0.947276	0.049063
23880	0.950948	0.049792
23881	0.959439	0.058701
23882	0.973906	0.048602
23883	0.973927	0.070746
23884	0.959107	0.056041
23885	0.878041	0.184232
23886	0.973612	0.062860
23887	0.955364	0.050353
23888	0.965027	0.049542
23889	0.975196	0.041532
23890	0.976976	0.045694
23891	0.991964	0.045720
23892	0.969748	0.049313
23893	0.972576	0.049139
23894	0.981143	0.048774
23895	0.984735	0.050045
23896	0.966839	0.046693
23897	0.991570	0.050184
23898	0.983260	0.051754
23899	0.987854	0.057735
23900	0.989413	0.050535
23901	1.080154	0.111670
23902	0.988732	0.049243
23903	0.995046	0.118116
23904	0.999740	0.046956
23905	1.001099	0.046383
23906	1.002509	0.047181
23907	1.004567	0.047827
23908	1.000539	0.046752
23911	1.001647	0.046150
23912	1.002702	0.046355
23913	1.003675	0.046380
23915	1.009768	0.047089
23933	1.008652	0.046611
23937	1.013978	0.046925
23941	1.014785	0.047215
23942	1.013136	0.045850
23943	1.013036	0.045954
23944	1.021118	0.047475
23945	1.022822	0.047650
23946	1.023677	0.048397
23947	1.023874	0.048240
23948	1.025137	0.048704
23949	1.020968	0.045422
23950	1.028138	0.048696
23951	1.029418	0.049684
23952	1.029898	0.049350
23953	1.031718	0.049846
23954	1.025717	0.046485
23955	1.032537	0.048523
23956	1.026968	0.047631
23957	0.991550	0.029658
23960	0.992800	0.029721
23961	0.985145	0.029441
23962	0.975734	0.030153
23964	1.001077	0.029981
23965	1.003260	0.030282
23966	1.006036	0.030165
23967	1.003440	0.030275
23969	1.009751	0.030507
23970	1.011394	0.031054
23972	1.007516	0.031043
23973	1.008683	0.031072
23974	1.009903	0.031089
23975	0.999063	0.031238
23977	0.968287	0.037566
23979	0.968513	0.037428
23980	0.971832	0.037410
23981	0.970220	0.037097
23982	0.973436	0.037232
23983	0.973895	0.037030
23984	0.971154	0.036610
23985	0.973165	0.036576
23986	0.973987	0.036401
23987	0.975045	0.036058
23988	0.975730	0.036142
23989	0.980372	0.036197
23990	0.969940	0.035157
23991	0.963058	0.035397
23992	0.982179	0.036092
23993	0.982293	0.035681
23994	0.983390	0.035273
23995	0.984082	0.035240
23996	0.979100	0.034408
23998	0.975336	0.034007
23999	0.983253	0.034696
24001	0.988403	0.035007
24002	0.988897	0.034799
24003	0.989376	0.034495
24004	0.979437	0.033800
24005	0.989199	0.034256
24006	0.989622	0.034321
24007	0.990451	0.034195
24008	0.991166	0.034531
24009	0.991416	0.033976
24010	0.992670	0.034147
24011	0.993600	0.034108
24012	0.993924	0.033931
24013	0.994459	0.033675
24014	0.994969	0.033805
24015	0.989556	0.033203
24016	0.981032	0.032207
24018	0.981990	0.032865
24019	0.997614	0.033854
24020	0.997829	0.033704
24021	0.997938	0.033670
24022	0.998203	0.033561
24023	0.992735	0.033155
24024	0.993702	0.033137
24026	0.989976	0.033112
24031	0.989879	0.032910
24032	0.997283	0.033735
24038	0.988027	0.033110
24039	1.000471	0.034548
24040	1.000427	0.033833
24041	1.001422	0.033646
24042	1.001413	0.033607
24043	0.989382	0.032871
24046	0.990955	0.032966
24047	1.001009	0.033553
24048	1.000952	0.033806
24049	1.001127	0.033860
24050	1.001599	0.033836
24051	1.002517	0.033808
24053	0.992253	0.033334
24054	1.004194	0.033909
24055	1.004125	0.034008
24056	1.004624	0.034082
24057	1.004819	0.034031
24058	0.998263	0.033677
24059	0.989017	0.033159
24060	1.006667	0.034021
24061	1.005909	0.034221
24062	1.006237	0.034079
24063	1.006469	0.034205
24064	1.000542	0.034104
24065	0.996114	0.033880
24066	1.004541	0.034423
24067	1.009355	0.034689
24068	1.008727	0.034532
24069	1.009000	0.034659
24070	0.998307	0.034290
24071	1.007165	0.034352
24072	1.006404	0.034459
24073	1.006536	0.034510
24074	1.006669	0.034397
24075	1.006844	0.034862
24076	1.006885	0.034779
24078	0.978971	0.035116
24079	1.008467	0.035133
24080	1.008407	0.035115
24081	1.009093	0.034924
24082	1.008988	0.035111
24084	1.006177	0.034980
24085	1.005796	0.035040
24086	1.006080	0.035106
24087	1.014523	0.035713
24089	0.997845	0.039371
24091	0.999028	0.039380
24092	0.999317	0.039329
24093	0.999374	0.039720
24094	0.999481	0.039270
24095	0.994073	0.039153
24096	0.987210	0.038901
24097	1.004710	0.040909
24098	1.000532	0.039796
24099	0.999857	0.038883
24100	1.000350	0.039017
24101	0.999816	0.039293
24103	0.996004	0.038921
24104	1.000432	0.039223
24110	0.998326	0.039231
24111	0.997476	0.039263
24112	0.997169	0.039109
24113	0.991250	0.039015
24115	0.992012	0.038514
24116	0.997542	0.039340
24117	0.997370	0.039690
24119	0.991248	0.038414
24120	0.999218	0.039427
24121	0.999279	0.039209
24122	0.999425	0.039250
24123	0.999607	0.039607
24125	0.991803	0.039513
24126	1.000915	0.039635
24127	1.001300	0.039530
24128	1.001269	0.039129
24129	1.001044	0.039344
24130	1.001280	0.039757
24131	1.001462	0.039630
24132	1.000946	0.039258
24133	1.001624	0.039173
24134	0.995932	0.039034
24135	0.989731	0.038517
24137	0.989800	0.038481
24138	1.005536	0.039832
24139	1.004886	0.039834
24140	1.004885	0.039869
24141	1.005090	0.039595
24143	0.993967	0.038632
24144	1.003444	0.039590
24145	1.003519	0.039566
24146	1.003650	0.039772
24147	1.003842	0.039545
24149	0.995137	0.038901
24150	1.003573	0.039507
24151	1.003259	0.039703
24153	1.003528	0.039806
24155	1.003748	0.039687
24156	0.997836	0.039132
24157	0.991386	0.038674
24158	1.004324	0.039720
24159	1.003963	0.039341
24160	1.003522	0.039555
24161	1.003731	0.039414
24162	1.004558	0.039617
24163	1.004763	0.039434
24164	1.004616	0.039668
24165	1.004434	0.039509
24166	0.995718	0.039479
24167	1.005144	0.039831
24168	1.004506	0.039607
24169	1.004694	0.039549
24170	1.004709	0.039505
24171	1.004554	0.039761
24172	1.004534	0.039754
24173	1.005473	0.040290
24174	1.005202	0.039862
24175	1.005115	0.039887
24176	1.005456	0.040520
24177	1.005226	0.040177
24178	1.006504	0.040090
24179	1.005362	0.040346
24185	1.005435	0.040061
24188	0.879385	0.150576
24189	0.922363	0.165761
24190	0.978488	0.123503
24191	0.985127	0.222555
24192	0.976267	0.109210
24193	0.973923	0.108325
24196	-12.337832	5.464267
24199	0.986340	0.084479
24200	0.938969	0.152437
24201	0.735763	0.214124
24203	-0.403450	0.536854
24204	0.927583	0.167785
24206	1.047117	0.123940
24207	0.765219	0.275321
24208	0.972903	0.137908
24210	0.943455	0.132877
24211	0.971156	0.121325
24213	0.943339	0.107738
24214	0.937220	0.108121
24215	0.926996	0.122631
24216	0.954547	0.105428
24217	0.945718	0.112457
24218	0.949506	0.104381
24219	0.953751	0.090684
24220	0.989557	0.056098
24222	0.914849	0.123820
24223	0.929597	0.115028
24224	0.951628	0.091032
24225	0.891775	0.151995
24226	0.948066	0.094594
24227	0.928354	0.118108
24228	0.951455	0.093765
24229	0.954768	0.076910
24230	0.924881	0.159576
24232	0.967553	0.082333
24233	0.983084	0.072122
24234	0.965041	0.086222
24236	0.968703	0.081609
24237	0.953292	0.088895
24238	0.955895	0.092421
24239	0.965713	0.087795
24240	0.960309	0.099103
24241	0.980919	0.064337
24243	0.968610	0.082020
24244	0.970856	0.082350
24245	0.983722	0.071138
24246	0.979794	0.076782
24247	0.972676	0.078360
24248	0.981408	0.072595
24250	0.910144	0.141321
24251	0.943377	0.099960
24252	0.936727	0.108028
24253	0.949040	0.103735
24254	0.891661	0.147116
24255	0.953237	0.099218
24257	0.962072	0.090612
24258	0.935469	0.106002
24259	0.957542	0.102105
24260	0.950167	0.093693
24261	0.963372	0.074463
24262	0.935260	0.104671
24263	0.946001	0.097464
24264	0.975627	0.044438
24266	0.978551	0.077287
24267	0.985363	0.063268
24268	0.971693	0.075898
24269	0.962107	0.059856
24270	0.928431	0.117660
24271	0.945123	0.108363
24273	0.961241	0.097314
24274	0.896789	0.138230
24275	0.968159	0.089271
24276	0.989630	0.071926
24277	0.972882	0.075575
24278	0.981151	0.065699
24279	0.974233	0.079663
24280	0.968634	0.071819
24281	0.967035	0.088614
24282	0.979390	0.070504
24283	0.980684	0.075033
24310	0.996227	0.055968
24311	0.995189	0.053144
24312	0.993410	0.050148
24313	0.994282	0.057439
24314	0.988495	0.067863
24315	0.997727	0.050361
24316	0.992738	0.056596
24317	0.989819	0.058104
24318	1.006948	0.050359
24321	0.990367	0.044336
24323	0.987657	0.062626
24324	0.984789	0.058970
24325	0.993091	0.057966
24326	0.968202	0.090589
24327	0.981741	0.073055
24328	0.968405	0.091370
24329	0.961443	0.092688
24330	0.971152	0.077486
24331	0.970953	0.067890
24332	0.983140	0.060148
24334	0.984971	0.047936
24335	0.986114	0.055217
24336	0.992886	0.058374
24337	0.985967	0.061304
24338	0.988947	0.071511
24339	0.979518	0.073324
24341	0.988556	0.046533
24342	0.985352	0.077898
24343	0.979954	0.069514
24344	0.981281	0.072456
24345	0.987312	0.070807
24346	0.963422	0.097148
24347	0.978250	0.070171
24348	0.988726	0.068046
24349	0.991107	0.052989
24351	0.991898	0.044791
24352	0.993836	0.054543
24353	0.994401	0.054873
24354	0.983821	0.062968
24355	0.978528	0.070859
24356	0.985663	0.056937
24357	0.988500	0.058842
24359	0.996859	0.048276
24360	0.997279	0.053899
24362	0.991293	0.043848
24363	0.993713	0.039962
24364	0.991297	0.044650
24365	0.986266	0.053667
24366	0.991636	0.043751
24367	0.998512	0.051052
24368	0.980854	0.061186
24369	0.986859	0.053063
24370	0.997957	0.037440
24371	0.993671	0.040641
24372	0.995930	0.051600
24376	0.994917	0.059738
24377	0.990438	0.052296
24378	0.985144	0.067457
24379	0.994313	0.057657
24380	0.991970	0.056436
24381	0.994296	0.058324
24382	0.986217	0.061880
24383	0.997762	0.059801
24384	0.985278	0.043494
24385	0.992836	0.058364
24386	0.987850	0.058564
24387	0.992867	0.062052
24388	0.989279	0.061961
24389	0.989286	0.058458
24390	0.977535	0.065487
24396	0.979679	0.056753
24397	0.988289	0.053730
24398	0.992090	0.065054
24399	0.975018	0.062908
24400	0.989752	0.054770
24401	0.990483	0.059708
24402	0.986236	0.058669
24404	0.985109	0.056676
24405	0.991652	0.045498
24406	0.989678	0.058075
24407	0.993166	0.057144
24408	0.987852	0.061179
24409	0.983729	0.064583
24410	0.980387	0.064739
24411	0.976160	0.059946
24412	0.990609	0.053169
24413	0.986187	0.051045
24414	0.983737	0.041137
24415	0.983623	0.079051
24416	0.986556	0.056938
24417	0.993191	0.057949
24418	0.990949	0.058192
24419	0.987239	0.056025
24421	1.011529	0.058723
24422	0.986517	0.059495
24423	0.981774	0.052044
24424	0.992116	0.057564
24425	0.986601	0.061220
24426	0.990916	0.050221
24427	0.983860	0.028969
24429	1.214169	0.154178
24430	1.298778	0.180151
24431	1.174741	0.149904
24432	1.337616	0.215060
24434	1.099387	0.115151
24435	1.491158	0.253793
24437	1.076731	0.107886
24441	1.221902	0.143040
24442	1.242302	0.172376
24451	1.196587	0.147259
24453	1.050504	0.106307
24454	1.178575	0.130391
24458	1.104137	0.083694
24461	1.021757	0.068141
24468	1.117416	0.090384
24469	1.251995	0.200400
24472	1.039340	0.072397
24474	1.911232	0.368492
24477	1.298192	0.189152
24479	1.235527	0.209313
24480	1.026584	0.066548
24484	1.113688	0.083730
24485	1.578276	0.336049
24486	1.100236	0.076490
24487	2.276717	0.424562
24489	1.439456	0.227819
24490	1.084020	0.077346
24492	1.125088	0.106090
24493	1.322605	0.183747
24497	1.102071	0.075417
24499	1.234066	0.142486
24502	1.166742	0.132330
24506	1.145899	0.130361
24510	1.068988	0.086206
24512	1.102332	0.130127
24521	1.123417	0.101656
24525	1.161536	0.153268
24527	1.318194	0.248630
24528	1.974864	0.327015
24532	1.176501	0.153275
24533	1.175877	0.146430
24534	1.202744	0.163911
24535	1.106794	0.113585
24536	0.991906	0.116790
24543	0.977956	0.073755
24547	1.006571	0.076928
24553	0.942031	0.110215
24554	0.930088	0.107656
24555	0.977601	0.058922
24556	0.954134	0.096098
24557	0.971730	0.076026
24558	0.978314	0.071643
24559	0.961136	0.088041
24560	0.976780	0.073735
24561	0.969532	0.083279
24562	0.983720	0.061524
24563	0.988065	0.057966
24564	1.169457	0.150842
24572	1.058211	0.042171
24574	1.048251	0.043255
24576	1.045455	0.042649
24578	1.051464	0.042789
24580	1.044039	0.044138
24582	1.009870	0.039668
24583	1.011944	0.039590
24584	1.011722	0.039848
24585	1.008427	0.039922
24587	1.010303	0.039108
24588	1.013162	0.039430
24589	1.003236	0.042597
24590	1.003395	0.042538
24591	1.004287	0.042781
24592	1.004189	0.042577
24593	1.004250	0.042344
24594	1.003781	0.042537
24595	1.003357	0.042797
24596	1.005129	0.043023
24597	1.005181	0.043239
24598	1.114499	0.076609
24599	1.115271	0.076563
24600	1.118158	0.077433
24601	0.984824	0.072027
24602	0.994316	0.060199
24603	0.991768	0.060654
24604	0.990207	0.062293
24605	0.989045	0.060162
24611	0.978149	0.079331
24612	0.990071	0.080321
24613	0.992487	0.077405
24614	0.993002	0.078375
24615	0.992940	0.078142
24616	0.991397	0.069509
24617	0.988212	0.079061
24618	0.990267	0.069893
24619	1.002184	0.056402
24620	0.988068	0.075474
24621	0.997739	0.064551
24622	0.995977	0.052706
24625	0.998035	0.057989
24627	0.993098	0.091507
24628	0.986634	0.063518
24629	0.998123	0.061351
24630	1.002690	0.060068
24631	0.975394	0.088169
24632	0.992487	0.064316
24633	0.999503	0.058345
24634	0.987696	0.058428
24635	0.998457	0.061119
24636	1.010022	0.064940
24640	0.999300	0.050410
24641	0.972545	0.060243
24642	0.970766	0.078597
24643	0.993799	0.047364
24645	0.993431	0.045388
24646	0.987998	0.058556
24647	0.992932	0.056618
24648	0.988393	0.059134
24649	0.988345	0.061377
24650	0.997524	0.057603
24651	0.993264	0.057856
24653	0.998160	0.048967
24654	1.001886	0.049737
24655	0.985657	0.055803
24656	0.998374	0.058265
24657	0.992511	0.056166
24658	1.001161	0.047232
24659	0.998331	0.052041
24660	0.992498	0.060046
24661	1.000115	0.049546
24662	0.999642	0.046642
24665	0.998844	0.045939
24666	0.988298	0.083233
24667	0.992825	0.073876
24668	0.985851	0.082067
24669	0.985975	0.073857
24670	0.990473	0.066938
24671	0.990307	0.065118
24672	0.997810	0.059435
24673	0.995739	0.055951
24674	0.990581	0.061877
24675	0.993000	0.059848
24676	0.996892	0.056446
24677	0.987092	0.076930
24678	0.998099	0.061078
24679	0.987009	0.064189
24680	0.992161	0.070815
24681	0.998395	0.043558
24682	1.005303	0.064651
24683	0.971582	0.108037
24684	0.996592	0.065192
24685	0.994279	0.061298
24686	0.984152	0.075878
24687	0.991174	0.055183
24688	0.996084	0.052690
24690	1.006148	0.039860
24691	1.005207	0.039869
24692	1.005400	0.039674
24693	1.005135	0.039808
24694	1.005212	0.039363
24695	1.005081	0.040037
24696	1.003914	0.039942
24697	1.005817	0.040331
24698	1.004963	0.039735
24699	1.005112	0.040049
24701	1.005737	0.039667
24702	1.002336	0.040001
24703	0.996165	0.039459
24706	1.005776	0.039896
24707	1.002021	0.039984
24708	1.001539	0.039943
24709	1.000747	0.039199
24710	0.996312	0.039769
24712	1.002107	0.039556
24713	1.006424	0.039987
24714	1.006219	0.040193
24715	1.006249	0.039852
24716	1.005993	0.039869
24717	1.006238	0.040303
24718	1.006204	0.040331
24719	1.006235	0.040076
24720	1.002764	0.039897
24721	1.002795	0.039236
24722	1.002414	0.040134
24723	1.003002	0.039204
24752	1.001717	0.039765
24765	0.998353	0.039681
24793	0.996683	0.047566
24802	0.993868	0.045384
24833	1.022757	0.031879
24834	1.022659	0.031965
24835	1.020808	0.031998
