eprime,theta,xbj,q2,w,modelxsec,epsilon
1.2,29.045,0.187,2.591,3.485,0.0,0.25268258659208626
1.22,29.045,0.191,2.634,3.473,0.029047,0.25664602224101896
1.24,29.045,0.194,2.677,3.462,0.028647,0.26059964121730633
1.26,29.045,0.198,2.72,3.45,0.028245,0.2645433463090794
1.28,29.045,0.202,2.763,3.438,0.027843,0.2684770412783869
1.3,29.045,0.205,2.806,3.427,0.027441,0.2724006308667789
1.32,29.045,0.209,2.85,3.415,0.027036,0.27638060473465775
1.34,29.045,0.213,2.893,3.403,0.02661,0.2802832093884201
1.36,29.045,0.217,2.936,3.391,0.026201,0.28417543021186253
1.38,29.045,0.22,2.979,3.379,0.025794,0.28805717593797536
1.4,29.045,0.224,3.022,3.367,0.025393,0.29192835630413216
1.42,29.045,0.228,3.066,3.355,0.024993,0.295853004410397
1.44,29.045,0.232,3.109,3.343,0.024594,0.2997023022756173
1.46,29.045,0.236,3.152,3.331,0.0242,0.3035407715621909
1.48,29.045,0.24,3.195,3.319,0.023815,0.30736832608786036
1.5,29.045,0.244,3.238,3.307,0.023431,0.311184880695045
1.52,29.045,0.248,3.281,3.294,0.023055,0.3149903512544104
1.54,29.045,0.252,3.325,3.282,0.022679,0.31884587638226775
1.56,29.045,0.256,3.368,3.27,0.022317,0.3226284549583249
1.58,29.045,0.26,3.411,3.257,0.021957,0.32639970491437365
1.6,29.045,0.264,3.454,3.245,0.021604,0.33015954628427474
1.62,29.045,0.268,3.497,3.233,0.021254,0.33390790014499433
1.64,29.045,0.272,3.541,3.22,0.020922,0.3377035357656936
1.66,29.045,0.276,3.584,3.208,0.020578,0.3414282147542722
1.68,29.045,0.28,3.627,3.195,0.020232,0.3451411774477973
1.7,29.045,0.284,3.67,3.182,0.019893,0.34884234913549544
1.72,29.045,0.288,3.713,3.17,0.019556,0.3525316561601213
1.74,29.045,0.293,3.756,3.157,0.019217,0.35620902591957865
1.76,29.045,0.297,3.8,3.144,0.018877,0.35993044418827513
1.78,29.045,0.301,3.843,3.131,0.01853,0.3635832691284917
1.8,29.045,0.305,3.886,3.118,0.018196,0.36722394713732404
1.82,29.045,0.31,3.929,3.105,0.017867,0.37085240986094725
1.84,29.045,0.314,3.972,3.092,0.017521,0.374468590005938
1.86,29.045,0.318,4.015,3.079,0.017177,0.37807242133988134
1.88,29.045,0.323,4.059,3.066,0.01683,0.38171717159699675
1.9,29.045,0.327,4.102,3.053,0.016498,0.3852956652468982
1.92,29.045,0.332,4.145,3.04,0.016166,0.38886161963810945
1.94,29.045,0.336,4.188,3.026,0.015843,0.3924149727981609
1.96,29.045,0.34,4.231,3.013,0.015518,0.39595566381588065
1.98,29.045,0.345,4.275,2.999,0.015207,0.3995347457836065
2.0,29.045,0.35,4.318,2.986,0.014894,0.4030494980497333
2.02,29.045,0.354,4.361,2.972,0.014589,0.4065514137455515
2.04,29.045,0.359,4.404,2.959,0.014287,0.4100404362115666
2.06,29.045,0.363,4.447,2.945,0.013997,0.41351650984592203
2.08,29.045,0.368,4.49,2.931,0.01371,0.41697958010326736
2.1,29.045,0.373,4.534,2.918,0.013421,0.42047810972977845
2.12,29.045,0.377,4.577,2.904,0.013137,0.4239145897648217
2.14,29.045,0.382,4.62,2.89,0.01286,0.4273379111196841
2.16,29.045,0.387,4.663,2.876,0.012572,0.4307480234707268
2.18,29.045,0.392,4.706,2.862,0.012288,0.4341448775426691
2.2,29.045,0.397,4.749,2.848,0.012014,0.4375284251065856
2.22,29.045,0.401,4.793,2.833,0.011733,0.440944611609861
2.24,29.045,0.406,4.836,2.819,0.011455,0.4443009938808888
2.26,29.045,0.411,4.879,2.805,0.01118,0.4476439332755547
2.28,29.045,0.416,4.922,2.79,0.010906,0.4509733857358716
2.3,29.045,0.421,4.965,2.776,0.010638,0.45428930823787
2.32,29.045,0.426,5.009,2.761,0.010375,0.4576356041938676
2.34,29.045,0.431,5.052,2.747,0.010116,0.4609239405525083
2.36,29.045,0.436,5.095,2.732,0.0098656,0.4641986261568232
2.38,29.045,0.441,5.138,2.717,0.0096134,0.4674596220964744
2.4,29.045,0.447,5.181,2.702,0.0093718,0.4707068904795593
2.42,29.045,0.452,5.224,2.687,0.009134,0.4739403944291773
2.44,29.045,0.457,5.268,2.672,0.008895,0.4772016589256296
2.46,29.045,0.462,5.311,2.657,0.0086616,0.4804071389369234
2.48,29.045,0.467,5.354,2.642,0.0084271,0.48359875207551123
2.5,29.045,0.473,5.397,2.626,0.008197,0.48677646549317843
2.52,29.045,0.478,5.44,2.611,0.0079697,0.4899402473375437
2.54,29.045,0.484,5.483,2.596,0.0077371,0.49309006674794165
2.56,29.045,0.489,5.527,2.58,0.0075143,0.49626514796965754
2.58,29.045,0.494,5.57,2.564,0.0072919,0.49938657838165057
2.6,29.045,0.5,5.613,2.549,0.0070712,0.5024939618504379
2.62,29.045,0.505,5.656,2.533,0.006861,0.5055872714427622
2.64,29.045,0.511,5.699,2.517,0.0066538,0.5086664811946736
2.66,29.045,0.517,5.743,2.501,0.0064451,0.5117689568845407
2.68,29.045,0.522,5.786,2.484,0.006247,0.5148195283703474
2.7,29.045,0.528,5.829,2.468,0.0060487,0.5178559300733208
2.72,29.045,0.534,5.872,2.452,0.0058541,0.520878139861106
2.74,29.045,0.539,5.915,2.435,0.0056629,0.5238861365458216
2.76,29.045,0.545,5.958,2.419,0.0054742,0.5268798998788699
2.78,29.045,0.551,6.002,2.402,0.0052862,0.5298946397550476
2.8,29.045,0.557,6.045,2.385,0.0051016,0.5328595280270725
2.82,29.045,0.563,6.088,2.368,0.0049199,0.5358101299772203
2.84,29.045,0.569,6.131,2.351,0.004742,0.5387464290616927
2.86,29.045,0.575,6.174,2.334,0.0045681,0.5416684096485544
2.88,29.045,0.581,6.217,2.316,0.0043989,0.5445760570120585
2.9,29.045,0.587,6.261,2.299,0.0042344,0.5475025048218292
2.92,29.045,0.593,6.304,2.281,0.0040734,0.5503811070649177
2.94,29.045,0.599,6.347,2.263,0.003915,0.5532453394833444
2.96,29.045,0.606,6.39,2.245,0.003759,0.5560951909178726
2.98,29.045,0.612,6.433,2.227,0.0036059,0.5589306510858021
3.0,29.045,0.618,6.477,2.209,0.0034559,0.5617831833792227
3.02,29.045,0.625,6.52,2.191,0.0033105,0.5645895066041047
3.04,29.045,0.631,6.563,2.172,0.0031691,0.5673814151060231
