eprime,theta,xbj,q2,w,modelxsec,epsilon
1.2,29.045,0.187,2.591,3.485,0.0,0.25268258659208626
1.22,29.045,0.191,2.634,3.473,0.0047541,0.25664602224101896
1.24,29.045,0.194,2.677,3.462,0.0046874,0.26059964121730633
1.26,29.045,0.198,2.72,3.45,0.0046227,0.2645433463090794
1.28,29.045,0.202,2.763,3.438,0.0045572,0.2684770412783869
1.3,29.045,0.205,2.806,3.427,0.0044916,0.2724006308667789
1.32,29.045,0.209,2.85,3.415,0.004422,0.27638060473465775
1.34,29.045,0.213,2.893,3.403,0.0043565,0.2802832093884201
1.36,29.045,0.217,2.936,3.391,0.0042911,0.28417543021186253
1.38,29.045,0.22,2.979,3.379,0.0042268,0.28805717593797536
1.4,29.045,0.224,3.022,3.367,0.0041624,0.29192835630413216
1.42,29.045,0.228,3.066,3.355,0.0040971,0.295853004410397
1.44,29.045,0.232,3.109,3.343,0.0040344,0.2997023022756173
1.46,29.045,0.236,3.152,3.331,0.0039715,0.3035407715621909
1.48,29.045,0.24,3.195,3.319,0.0039103,0.30736832608786036
1.5,29.045,0.244,3.238,3.307,0.00385,0.311184880695045
1.52,29.045,0.248,3.281,3.294,0.0037907,0.3149903512544104
1.54,29.045,0.252,3.325,3.282,0.0037332,0.31884587638226775
1.56,29.045,0.256,3.368,3.27,0.0036756,0.3226284549583249
1.58,29.045,0.26,3.411,3.257,0.0036197,0.32639970491437365
1.6,29.045,0.264,3.454,3.245,0.0035662,0.33015954628427474
1.62,29.045,0.268,3.497,3.233,0.0035119,0.33390790014499433
1.64,29.045,0.272,3.541,3.22,0.0034585,0.3377035357656936
1.66,29.045,0.276,3.584,3.208,0.0034078,0.3414282147542722
1.68,29.045,0.28,3.627,3.195,0.0033556,0.3451411774477973
1.7,29.045,0.284,3.67,3.182,0.0033021,0.34884234913549544
1.72,29.045,0.288,3.713,3.17,0.00325,0.3525316561601213
1.74,29.045,0.293,3.756,3.157,0.0031979,0.35620902591957865
1.76,29.045,0.297,3.8,3.144,0.0031454,0.35993044418827513
1.78,29.045,0.301,3.843,3.131,0.0030925,0.3635832691284917
1.8,29.045,0.305,3.886,3.118,0.0030389,0.36722394713732404
1.82,29.045,0.31,3.929,3.105,0.0029871,0.37085240986094725
1.84,29.045,0.314,3.972,3.092,0.002936,0.374468590005938
1.86,29.045,0.318,4.015,3.079,0.0028818,0.37807242133988134
1.88,29.045,0.323,4.059,3.066,0.0028285,0.38171717159699675
1.9,29.045,0.327,4.102,3.053,0.0027756,0.3852956652468982
1.92,29.045,0.332,4.145,3.04,0.0027237,0.38886161963810945
1.94,29.045,0.336,4.188,3.026,0.0026723,0.3924149727981609
1.96,29.045,0.34,4.231,3.013,0.0026221,0.39595566381588065
1.98,29.045,0.345,4.275,2.999,0.002572,0.3995347457836065
2.0,29.045,0.35,4.318,2.986,0.0025234,0.4030494980497333
2.02,29.045,0.354,4.361,2.972,0.002475,0.4065514137455515
2.04,29.045,0.359,4.404,2.959,0.0024281,0.4100404362115666
2.06,29.045,0.363,4.447,2.945,0.0023811,0.41351650984592203
2.08,29.045,0.368,4.49,2.931,0.0023357,0.41697958010326736
2.1,29.045,0.373,4.534,2.918,0.0022906,0.42047810972977845
2.12,29.045,0.377,4.577,2.904,0.0022448,0.4239145897648217
2.14,29.045,0.382,4.62,2.89,0.0021997,0.4273379111196841
2.16,29.045,0.387,4.663,2.876,0.0021556,0.4307480234707268
2.18,29.045,0.392,4.706,2.862,0.0021097,0.4341448775426691
2.2,29.045,0.397,4.749,2.848,0.0020659,0.4375284251065856
2.22,29.045,0.401,4.793,2.833,0.0020199,0.440944611609861
2.24,29.045,0.406,4.836,2.819,0.0019745,0.4443009938808888
2.26,29.045,0.411,4.879,2.805,0.0019295,0.4476439332755547
2.28,29.045,0.416,4.922,2.79,0.0018849,0.4509733857358716
2.3,29.045,0.421,4.965,2.776,0.0018417,0.45428930823787
2.32,29.045,0.426,5.009,2.761,0.0017976,0.4576356041938676
2.34,29.045,0.431,5.052,2.747,0.0017559,0.4609239405525083
2.36,29.045,0.436,5.095,2.732,0.0017136,0.4641986261568232
2.38,29.045,0.441,5.138,2.717,0.0016729,0.4674596220964744
2.4,29.045,0.447,5.181,2.702,0.0016328,0.4707068904795593
2.42,29.045,0.452,5.224,2.687,0.0015925,0.4739403944291773
2.44,29.045,0.457,5.268,2.672,0.0015534,0.4772016589256296
