eprime,theta,xbj,q2,w,modelxsec,epsilon,delta
1.385555,29.045,0.221463,2.991197,3.375747,0.00426202,0.28914994509018627,-9.50
1.400865,29.045,0.224388,3.024249,3.366584,0.00420576,0.2921206876032022,-8.50
1.416175,29.045,0.227325,3.057301,3.357395,0.00415217,0.29508508335199146,-7.50
1.431485,29.045,0.230274,3.090353,3.348182,0.0040982,0.29804309307896215,-6.50
1.446795,29.045,0.233236,3.123405,3.338943,0.00404632,0.3009946778804444,-5.50
1.462105,29.045,0.236211,3.156457,3.329678,0.00399402,0.30393979920767233,-4.50
1.477415,29.045,0.239199,3.189509,3.320388,0.00394283,0.30687841886772893,-3.50
1.492725,29.045,0.242199,3.222561,3.311071,0.0038931,0.30981049902445473,-2.50
1.508035,29.045,0.245213,3.255613,3.301729,0.00384399,0.3127360021993189,-1.50
1.523345,29.045,0.24824,3.288664,3.292359,0.00379551,0.3156548296528772,-0.50
1.538655,29.045,0.251279,3.321716,3.282963,0.00374792,0.31856706823014375,0.50
1.553965,29.045,0.254333,3.354768,3.27354,0.00370149,0.32147261954294043,1.50
1.569275,29.045,0.257399,3.38782,3.26409,0.00365668,0.324371447551231,2.50
1.584585,29.045,0.260479,3.420872,3.254613,0.00361085,0.3272635165764202,3.50
1.599895,29.045,0.263572,3.453924,3.245107,0.0035654,0.3301487913020078,4.50
1.615205,29.045,0.266679,3.486976,3.235574,0.00352284,0.3330272367742061,5.50
1.630515,29.045,0.269799,3.520028,3.226013,0.00348089,0.3358988184025232,6.50
1.645825,29.045,0.272934,3.55308,3.216423,0.0034379,0.33876350196030863,7.50
1.661135,29.045,0.276082,3.586132,3.206804,0.00339544,0.3416212535852652,8.50
1.676445,29.045,0.279244,3.619184,3.197157,0.00335577,0.3444720397799246,9.50
