eprime,theta,xbj,q2,w,modelxsec
3.0,16.75,0.189,2.717,3.544,0.0
3.01,16.75,0.19,2.726,3.54,0.014309
3.02,16.75,0.19,2.735,3.536,0.014277
3.03,16.75,0.191,2.744,3.532,0.014246
3.04,16.75,0.192,2.753,3.528,0.01422
3.05,16.75,0.193,2.762,3.524,0.014211
3.06,16.75,0.194,2.771,3.52,0.014181
3.07,16.75,0.195,2.78,3.516,0.014149
3.08,16.75,0.196,2.789,3.512,0.014118
3.09,16.75,0.197,2.798,3.508,0.014105
3.1,16.75,0.198,2.807,3.505,0.01408
3.11,16.75,0.198,2.816,3.501,0.014046
3.12,16.75,0.199,2.825,3.497,0.014015
3.13,16.75,0.2,2.834,3.493,0.013987
3.14,16.75,0.201,2.843,3.489,0.013975
3.15,16.75,0.202,2.853,3.485,0.013944
3.16,16.75,0.203,2.862,3.481,0.013908
3.17,16.75,0.204,2.871,3.477,0.01388
3.18,16.75,0.205,2.88,3.473,0.013863
3.19,16.75,0.206,2.889,3.469,0.013835
3.2,16.75,0.207,2.898,3.465,0.013801
3.21,16.75,0.208,2.907,3.461,0.013769
3.22,16.75,0.209,2.916,3.457,0.01374
3.23,16.75,0.209,2.925,3.453,0.013724
3.24,16.75,0.21,2.934,3.448,0.013688
3.25,16.75,0.211,2.943,3.444,0.013658
3.26,16.75,0.212,2.952,3.44,0.013627
3.27,16.75,0.213,2.961,3.436,0.013604
3.28,16.75,0.214,2.97,3.432,0.013573
3.29,16.75,0.215,2.979,3.428,0.01354
3.3,16.75,0.216,2.988,3.424,0.013511
3.31,16.75,0.217,2.997,3.42,0.013488
3.32,16.75,0.218,3.006,3.416,0.013456
3.33,16.75,0.219,3.016,3.412,0.013422
3.34,16.75,0.22,3.025,3.408,0.013393
3.35,16.75,0.221,3.034,3.404,0.013368
3.36,16.75,0.222,3.043,3.4,0.013337
3.37,16.75,0.223,3.052,3.396,0.013302
3.38,16.75,0.224,3.061,3.392,0.013273
3.39,16.75,0.225,3.07,3.387,0.013247
3.4,16.75,0.226,3.079,3.383,0.013212
3.41,16.75,0.227,3.088,3.379,0.013181
3.42,16.75,0.228,3.097,3.375,0.013152
3.43,16.75,0.229,3.106,3.371,0.01312
3.44,16.75,0.23,3.115,3.367,0.01309
3.45,16.75,0.231,3.124,3.363,0.013061
3.46,16.75,0.232,3.133,3.359,0.013031
3.47,16.75,0.233,3.142,3.354,0.012998
3.48,16.75,0.234,3.151,3.35,0.012969
3.49,16.75,0.235,3.16,3.346,0.012942
3.5,16.75,0.236,3.169,3.342,0.012909
3.51,16.75,0.237,3.179,3.338,0.012876
3.52,16.75,0.238,3.188,3.334,0.012847
3.53,16.75,0.239,3.197,3.329,0.01282
3.54,16.75,0.24,3.206,3.325,0.012786
3.55,16.75,0.241,3.215,3.321,0.012758
3.56,16.75,0.242,3.224,3.317,0.012724
3.57,16.75,0.243,3.233,3.313,0.012699
3.58,16.75,0.244,3.242,3.308,0.012666
3.59,16.75,0.245,3.251,3.304,0.012637
3.6,16.75,0.246,3.26,3.3,0.012603
3.61,16.75,0.247,3.269,3.296,0.012578
3.62,16.75,0.248,3.278,3.292,0.012548
3.63,16.75,0.249,3.287,3.287,0.012516
3.64,16.75,0.25,3.296,3.283,0.012489
3.65,16.75,0.251,3.305,3.279,0.012459
3.66,16.75,0.252,3.314,3.275,0.01243
3.67,16.75,0.253,3.323,3.27,0.012398
3.68,16.75,0.254,3.332,3.266,0.012372
3.69,16.75,0.255,3.342,3.262,0.012343
3.7,16.75,0.256,3.351,3.258,0.012312
3.71,16.75,0.257,3.36,3.253,0.01228
3.72,16.75,0.258,3.369,3.249,0.012255
3.73,16.75,0.259,3.378,3.245,0.012224
3.74,16.75,0.26,3.387,3.241,0.012193
3.75,16.75,0.261,3.396,3.236,0.012169
3.76,16.75,0.263,3.405,3.232,0.012141
3.77,16.75,0.264,3.414,3.228,0.012108
3.78,16.75,0.265,3.423,3.223,0.012079
3.79,16.75,0.266,3.432,3.219,0.012057
3.8,16.75,0.267,3.441,3.215,0.012024
3.81,16.75,0.268,3.45,3.21,0.011993
3.82,16.75,0.269,3.459,3.206,0.011966
3.83,16.75,0.27,3.468,3.202,0.01194
3.84,16.75,0.271,3.477,3.197,0.011908
3.85,16.75,0.272,3.486,3.193,0.011877
3.86,16.75,0.273,3.495,3.189,0.011856
3.87,16.75,0.275,3.505,3.184,0.011821
