#Run#	eBeam_diff	iBeam_diff	targ	type	Q2_difference	xbj_difference	HMSp_diff	HMSth_diff	SHMSp_diff	SHMSth_diff	Livetime_diff
23909	0.000000	-0.140000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	-0.000005
23918	0.000000	0.286000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
23919	0.000000	0.139000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
23925	0.000000	-0.299000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000002
23934	0.000000	0.236000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000002
23938	0.000000	0.701000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
23963	0.000000	0.319000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
23968	0.000000	2.186000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000003
23971	0.000000	0.006000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	-0.000001
23976	0.000000	2.191000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000002
24017	0.000000	0.411000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000004
24027	0.000000	0.354000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000000
24044	0.000000	0.338000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000004
24052	0.000000	1.147000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000001
24083	0.000000	0.461000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000002
24118	0.000000	0.355000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	-0.000001
24136	0.000000	-0.222000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	0.000003
24142	0.000000	0.153000	True	True	0.005190	-0.000170	0.000000	0.000000	0.000000	0.000000	-0.000003
