runnum,polarity,current,yield,yield_err
24900,-,50,106627.41326992639,136.65588579397567
24931,-,35,106553.16142575884,127.19331872240825
24989,-,15,106555.4383780108,127.25725157537418
25036,-,42,105993.25873409187,130.90846042290107
25101,-,18,106430.35586019968,130.15345400652348
25250,-,25,106809.53805566598,117.82796370419905
25274,-,55,106766.80571863739,144.20667119926736
25297,-,37,106396.52358695788,167.8328926769386
25373,-,50,106721.60443454249,144.71447744638218
25471,+,18,525.314211678141,8.824138045357047
