runnum,polarity,current,yield,yield_err
24884,-,40,166188.1555910242,201.31230624191878
25023,-,13,165591.294867624,201.4485184802398
25125,-,20,165361.70654370784,186.93198384904488
25142,-,25,165480.02940356365,192.55093939989723
25145,-,25,165682.0192261366,329.4209151747465
25178,-,20,165533.30833948727,223.59160522982697
25232,-,25,166153.19034042515,211.3133686526839
25260,-,25,166146.94164247875,192.99798409608607
25284,-,10,166337.1067859094,203.5030898086733
25367,-,22,165613.77000546418,199.31980587177637
25473,+,10,717.4927305253873,14.169629504512615
