runnum,polarity,current,yield,yield_err
23971,-,15,16932.31161582599,41.383835845899114
24044,-,17,17016.26839011846,34.211520688931806
24142,-,12,17171.39078106935,38.45730396900335
24209,-,50,17143.092543176237,35.75950348305988
24242,-,25,17206.277908210206,30.91301182425921
24301,-,50,17308.14862070851,37.24051667923458
24303,-,40,17193.642297143364,35.71568244031462
24304,-,30,17184.95492809445,45.448850264666426
24306,-,20,17212.36367495892,37.39750940873132
24307,-,10,17294.898129386318,50.277141274375694
24350,-,13,17281.793220837477,40.53543787078446
24549,+,50,1808.0010741796132,11.263110068281392
24579,+,35,1842.2407126974117,12.7099454105246
24652,-,48,17230.64329820717,36.61712499812481
24847,+,20,1840.7027528481663,13.833615366614307
24848,+,40,1840.4577441101114,11.416449664354547
